team1,team2,score1,score2,winner,win_margin,venue
West Coast,Essendon,96,112,Essendon,16,W.A.C.A.
St Kilda,Brisbane Bears,136,97,St Kilda,39,Moorabbin Oval
Carlton,Footscray,73,132,Footscray,59,Princes Park
Collingwood,Hawthorn,93,83,Collingwood,10,Waverley Park
Melbourne,Fitzroy,116,111,Melbourne,5,M.C.G.
North Melbourne,Geelong,125,123,North Melbourne,2,M.C.G.
Sydney,Richmond,89,73,Sydney,16,S.C.G.
St Kilda,Carlton,96,92,St Kilda,4,Moorabbin Oval
Fitzroy,Collingwood,132,107,Fitzroy,25,Princes Park
Essendon,Melbourne,94,68,Essendon,26,Windy Hill
Richmond,Footscray,156,88,Richmond,68,M.C.G.
North Melbourne,Hawthorn,72,141,Hawthorn,69,Waverley Park
Brisbane Bears,Sydney,123,65,Brisbane Bears,58,Carrara
Geelong,West Coast,175,80,Geelong,95,Kardinia Park
Collingwood,Brisbane Bears,135,75,Collingwood,60,Victoria Park
Hawthorn,Essendon,135,91,Hawthorn,44,Princes Park
St Kilda,Fitzroy,122,132,Fitzroy,10,Waverley Park
Footscray,North Melbourne,66,84,North Melbourne,18,Western Oval
Richmond,Melbourne,61,122,Melbourne,61,M.C.G.
Geelong,Carlton,117,64,Geelong,53,Kardinia Park
Sydney,West Coast,134,83,Sydney,51,S.C.G.
Melbourne,Brisbane Bears,79,53,Melbourne,26,M.C.G.
Collingwood,St Kilda,159,95,Collingwood,64,Victoria Park
Fitzroy,Sydney,79,153,Sydney,74,Princes Park
West Coast,North Melbourne,72,115,North Melbourne,43,W.A.C.A.
Footscray,Geelong,87,99,Geelong,12,Western Oval
Carlton,Essendon,110,138,Essendon,28,Princes Park
Richmond,Hawthorn,66,110,Hawthorn,44,Waverley Park
Hawthorn,Carlton,125,71,Hawthorn,54,Waverley Park
Essendon,St Kilda,138,84,Essendon,54,Windy Hill
Fitzroy,Geelong,113,112,Fitzroy,1,Princes Park
Melbourne,Footscray,82,71,Melbourne,11,M.C.G.
Brisbane Bears,West Coast,73,125,West Coast,52,Carrara
Sydney,Collingwood,77,66,Sydney,11,S.C.G.
North Melbourne,Richmond,134,171,Richmond,37,M.C.G.
West Coast,Fitzroy,81,89,Fitzroy,8,W.A.C.A.
Carlton,Richmond,102,66,Carlton,36,Waverley Park
Melbourne,Collingwood,64,124,Collingwood,60,M.C.G.
Hawthorn,Geelong,171,163,Hawthorn,8,Princes Park
St Kilda,Sydney,95,67,St Kilda,28,Moorabbin Oval
Brisbane Bears,Footscray,59,51,Brisbane Bears,8,Carrara
North Melbourne,Essendon,121,105,North Melbourne,16,M.C.G.
Sydney,North Melbourne,58,67,North Melbourne,9,S.C.G.
Melbourne,Carlton,86,80,Melbourne,6,M.C.G.
Collingwood,Footscray,106,78,Collingwood,28,Victoria Park
Hawthorn,Fitzroy,165,84,Hawthorn,81,Princes Park
Geelong,St Kilda,228,109,Geelong,119,Kardinia Park
Richmond,West Coast,92,90,Richmond,2,Waverley Park
Brisbane Bears,Essendon,81,112,Essendon,31,Carrara
Geelong,Brisbane Bears,179,50,Geelong,129,Kardinia Park
Carlton,Collingwood,80,109,Collingwood,29,Waverley Park
Essendon,Richmond,145,87,Essendon,58,Windy Hill
Footscray,Fitzroy,64,63,Footscray,1,Western Oval
Hawthorn,Sydney,157,83,Hawthorn,74,Princes Park
St Kilda,North Melbourne,115,112,St Kilda,3,Moorabbin Oval
West Coast,Melbourne,93,95,Melbourne,2,Subiaco
North Melbourne,Brisbane Bears,165,71,North Melbourne,94,M.C.G.
Carlton,Fitzroy,159,122,Carlton,37,Princes Park
Essendon,Collingwood,125,58,Essendon,67,Waverley Park
Richmond,Geelong,77,211,Geelong,134,M.C.G.
St Kilda,West Coast,118,83,St Kilda,35,Moorabbin Oval
Footscray,Hawthorn,73,117,Hawthorn,44,Western Oval
Sydney,Melbourne,43,52,Melbourne,9,S.C.G.
North Melbourne,Melbourne,83,113,Melbourne,30,M.C.G.
Carlton,Brisbane Bears,115,118,Brisbane Bears,3,Princes Park
Collingwood,Geelong,88,154,Geelong,66,M.C.G.
Essendon,Fitzroy,122,69,Essendon,53,Windy Hill
Footscray,Sydney,98,66,Footscray,32,Western Oval
St Kilda,Richmond,99,92,St Kilda,7,Waverley Park
West Coast,Hawthorn,105,110,Hawthorn,5,Subiaco
Sydney,Carlton,57,85,Carlton,28,S.C.G.
Richmond,Brisbane Bears,45,26,Richmond,19,M.C.G.
