team1,team2,score1,score2,winner,win_margin,venue
Hawthorn,Carlton,54,91,Carlton,37,Glenferrie Oval
St Kilda,Collingwood,60,54,St Kilda,6,Moorabbin Oval
Fitzroy,Essendon,64,84,Essendon,20,Brunswick St
Geelong,Footscray,35,33,Geelong,2,Kardinia Park
Richmond,Melbourne,41,47,Melbourne,6,M.C.G.
North Melbourne,South Melbourne,36,46,South Melbourne,10,Coburg Oval
Carlton,Geelong,59,65,Geelong,6,Princes Park
Collingwood,Richmond,79,64,Collingwood,15,Victoria Park
Essendon,Hawthorn,138,44,Essendon,94,Windy Hill
Footscray,Fitzroy,54,58,Fitzroy,4,Western Oval
Melbourne,North Melbourne,80,72,Melbourne,8,M.C.G.
South Melbourne,St Kilda,51,84,St Kilda,33,Lake Oval
South Melbourne,Carlton,86,71,South Melbourne,15,Lake Oval
Collingwood,Hawthorn,130,69,Collingwood,61,Victoria Park
Footscray,Essendon,48,126,Essendon,78,Western Oval
Fitzroy,Melbourne,58,109,Melbourne,51,Brunswick St
North Melbourne,Geelong,55,98,Geelong,43,Coburg Oval
Richmond,St Kilda,85,96,St Kilda,11,M.C.G.
Carlton,North Melbourne,107,44,Carlton,63,Princes Park
Geelong,Collingwood,50,45,Geelong,5,Kardinia Park
Essendon,Richmond,69,93,Richmond,24,Windy Hill
Hawthorn,Fitzroy,98,61,Hawthorn,37,Glenferrie Oval
St Kilda,Footscray,91,50,St Kilda,41,Moorabbin Oval
Melbourne,South Melbourne,80,77,Melbourne,3,M.C.G.
Collingwood,Carlton,65,85,Carlton,20,Victoria Park
St Kilda,Essendon,56,93,Essendon,37,Moorabbin Oval
Fitzroy,North Melbourne,81,109,North Melbourne,28,Brunswick St
Footscray,South Melbourne,77,76,Footscray,1,Western Oval
Geelong,Melbourne,55,69,Melbourne,14,Kardinia Park
Richmond,Hawthorn,105,60,Richmond,45,M.C.G.
Carlton,Richmond,61,45,Carlton,16,Princes Park
Melbourne,Collingwood,49,47,Melbourne,2,M.C.G.
