team1,team2,score1,score2,winner,win_margin,venue
Carlton,Richmond,64,97,Richmond,33,M.C.G.
Collingwood,Geelong,65,72,Geelong,7,M.C.G.
Melbourne,Port Adelaide,61,87,Port Adelaide,26,M.C.G.
Adelaide,Hawthorn,55,87,Hawthorn,32,Adelaide Oval
Western Bulldogs,Sydney,82,65,Western Bulldogs,17,Docklands
Brisbane Lions,West Coast,102,58,Brisbane Lions,44,Gabba
St Kilda,Gold Coast,85,84,St Kilda,1,Docklands
Greater Western Sydney,Essendon,112,40,Greater Western Sydney,72,Sydney Showground
Fremantle,North Melbourne,141,59,Fremantle,82,Perth Stadium
Richmond,Collingwood,66,110,Collingwood,44,M.C.G.
Sydney,Adelaide,62,88,Adelaide,26,S.C.G.
Essendon,St Kilda,65,76,St Kilda,11,Docklands
Port Adelaide,Carlton,88,72,Port Adelaide,16,Adelaide Oval
Geelong,Melbourne,126,46,Geelong,80,Kardinia Park
West Coast,Greater Western Sydney,104,52,West Coast,52,Perth Stadium
North Melbourne,Brisbane Lions,87,107,Brisbane Lions,20,Docklands
Hawthorn,Western Bulldogs,87,106,Western Bulldogs,19,M.C.G.
Gold Coast,Fremantle,61,58,Gold Coast,3,Carrara
Adelaide,Geelong,75,99,Geelong,24,Adelaide Oval
Melbourne,Essendon,112,130,Essendon,18,M.C.G.
Carlton,Sydney,74,93,Sydney,19,Docklands
Greater Western Sydney,Richmond,125,76,Greater Western Sydney,49,Sydney Showground
Brisbane Lions,Port Adelaide,107,90,Brisbane Lions,17,Gabba
Collingwood,West Coast,76,98,West Coast,22,M.C.G.
Western Bulldogs,Gold Coast,68,73,Gold Coast,5,Docklands
Hawthorn,North Melbourne,87,71,Hawthorn,16,M.C.G.
Fremantle,St Kilda,71,66,Fremantle,5,Perth Stadium
Sydney,Melbourne,78,100,Melbourne,22,S.C.G.
Collingwood,Western Bulldogs,78,64,Collingwood,14,M.C.G.
Geelong,Greater Western Sydney,75,79,Greater Western Sydney,4,Kardinia Park
Essendon,Brisbane Lions,112,65,Essendon,47,M.C.G.
Port Adelaide,Richmond,92,99,Richmond,7,Adelaide Oval
North Melbourne,Adelaide,71,59,North Melbourne,12,Docklands
West Coast,Fremantle,69,56,West Coast,13,Perth Stadium
Gold Coast,Carlton,59,57,Gold Coast,2,Carrara
St Kilda,Hawthorn,74,69,St Kilda,5,Docklands
Brisbane Lions,Collingwood,61,123,Collingwood,62,Gabba
North Melbourne,Essendon,58,116,Essendon,58,Docklands
West Coast,Port Adelaide,53,95,Port Adelaide,42,Perth Stadium
Greater Western Sydney,Fremantle,82,106,Fremantle,24,Manuka Oval
Melbourne,St Kilda,55,95,St Kilda,40,M.C.G.
Richmond,Sydney,89,67,Richmond,22,Docklands
Western Bulldogs,Carlton,57,101,Carlton,44,Docklands
Adelaide,Gold Coast,119,46,Adelaide,73,Adelaide Oval
Hawthorn,Geelong,90,113,Geelong,23,M.C.G.
Richmond,Melbourne,85,42,Richmond,43,M.C.G.
Essendon,Collingwood,69,73,Collingwood,4,M.C.G.
Port Adelaide,North Melbourne,88,72,Port Adelaide,16,Adelaide Oval
Gold Coast,Brisbane Lions,62,111,Brisbane Lions,49,Carrara
St Kilda,Adelaide,68,97,Adelaide,29,Docklands
Sydney,Greater Western Sydney,79,120,Greater Western Sydney,41,S.C.G.
Fremantle,Western Bulldogs,88,69,Fremantle,19,Perth Stadium
Hawthorn,Carlton,93,88,Hawthorn,5,York Park
Geelong,West Coast,104,46,Geelong,58,Kardinia Park
Collingwood,Port Adelaide,108,69,Collingwood,39,Docklands
Melbourne,Hawthorn,79,74,Melbourne,5,M.C.G.
Greater Western Sydney,St Kilda,114,70,Greater Western Sydney,44,Manuka Oval
Brisbane Lions,Sydney,103,81,Brisbane Lions,22,Gabba
Western Bulldogs,Richmond,99,52,Western Bulldogs,47,Docklands
West Coast,Gold Coast,80,57,West Coast,23,Perth Stadium
Carlton,North Melbourne,62,120,North Melbourne,58,Docklands
Geelong,Essendon,86,54,Geelong,32,M.C.G.
Adelaide,Fremantle,51,34,Adelaide,17,Adelaide Oval
Sydney,Essendon,77,72,Sydney,5,S.C.G.
Carlton,Collingwood,87,106,Collingwood,19,M.C.G.
Western Bulldogs,Brisbane Lions,92,76,Western Bulldogs,16,Eureka Stadium
Gold Coast,Melbourne,60,61,Melbourne,1,Carrara
St Kilda,West Coast,70,88,West Coast,18,Docklands
Port Adelaide,Adelaide,68,88,Adelaide,20,Adelaide Oval
North Melbourne,Geelong,80,104,Geelong,24,Docklands
