team1,team2,score1,score2,winner,win_margin,venue
Carlton,North Melbourne,76,68,Carlton,8,Princes Park
Collingwood,Fitzroy,99,71,Collingwood,28,Victoria Park
Essendon,St Kilda,85,79,Essendon,6,Windy Hill
Footscray,Richmond,64,34,Footscray,30,Western Oval
Melbourne,Geelong,97,110,Geelong,13,M.C.G.
South Melbourne,Hawthorn,73,97,Hawthorn,24,Lake Oval
Hawthorn,Carlton,74,53,Hawthorn,21,Glenferrie Oval
Geelong,Collingwood,95,43,Geelong,52,Kardinia Park
Richmond,Essendon,75,111,Essendon,36,Punt Rd
Fitzroy,South Melbourne,95,118,South Melbourne,23,Brunswick St
St Kilda,Footscray,96,43,St Kilda,53,Junction Oval
North Melbourne,Melbourne,61,77,Melbourne,16,Arden St
Melbourne,Carlton,79,33,Melbourne,46,M.C.G.
Footscray,Collingwood,60,79,Collingwood,19,Western Oval
Essendon,North Melbourne,107,121,North Melbourne,14,Windy Hill
Fitzroy,Geelong,48,90,Geelong,42,Brunswick St
Hawthorn,St Kilda,87,65,Hawthorn,22,Glenferrie Oval
South Melbourne,Richmond,55,63,Richmond,8,Lake Oval
Carlton,Footscray,80,111,Footscray,31,Princes Park
Collingwood,South Melbourne,85,57,Collingwood,28,Victoria Park
Geelong,Essendon,69,91,Essendon,22,Kardinia Park
Richmond,Fitzroy,104,40,Richmond,64,Punt Rd
North Melbourne,Hawthorn,99,68,North Melbourne,31,Arden St
St Kilda,Melbourne,93,67,St Kilda,26,Junction Oval
Collingwood,Carlton,85,66,Collingwood,19,Victoria Park
Essendon,Melbourne,53,85,Melbourne,32,Windy Hill
Hawthorn,Fitzroy,114,67,Hawthorn,47,Glenferrie Oval
North Melbourne,Footscray,103,56,North Melbourne,47,Arden St
South Melbourne,Geelong,59,76,Geelong,17,Lake Oval
Richmond,St Kilda,74,67,Richmond,7,Punt Rd
St Kilda,Carlton,97,49,St Kilda,48,Junction Oval
Essendon,Collingwood,73,69,Essendon,4,Windy Hill
Fitzroy,North Melbourne,78,95,North Melbourne,17,Brunswick St
Footscray,South Melbourne,82,69,Footscray,13,Western Oval
Geelong,Richmond,72,59,Geelong,13,Kardinia Park
Melbourne,Hawthorn,73,68,Melbourne,5,M.C.G.
Carlton,Fitzroy,60,59,Carlton,1,Princes Park
Collingwood,North Melbourne,150,42,Collingwood,108,Victoria Park
South Melbourne,Essendon,84,96,Essendon,12,Lake Oval
Melbourne,Footscray,86,44,Melbourne,42,M.C.G.
Geelong,St Kilda,89,86,Geelong,3,Kardinia Park
Hawthorn,Richmond,89,58,Hawthorn,31,Glenferrie Oval
South Melbourne,Carlton,61,86,Carlton,25,Lake Oval
Richmond,Collingwood,30,55,Collingwood,25,Punt Rd
Hawthorn,Essendon,62,48,Hawthorn,14,Glenferrie Oval
Fitzroy,Melbourne,51,118,Melbourne,67,Brunswick St
Footscray,Geelong,35,48,Geelong,13,Western Oval
North Melbourne,St Kilda,69,83,St Kilda,14,Arden St
Carlton,Richmond,81,78,Carlton,3,Princes Park
Essendon,Footscray,88,73,Essendon,15,Windy Hill
St Kilda,Fitzroy,96,48,St Kilda,48,Junction Oval
Melbourne,Collingwood,73,63,Melbourne,10,M.C.G.
Geelong,Hawthorn,75,26,Geelong,49,Kardinia Park
North Melbourne,South Melbourne,75,51,North Melbourne,24,Arden St
Essendon,Carlton,69,63,Essendon,6,Windy Hill
Collingwood,Hawthorn,89,98,Hawthorn,9,Victoria Park
Footscray,Fitzroy,93,85,Footscray,8,Western Oval
Geelong,North Melbourne,74,72,Geelong,2,Kardinia Park
Melbourne,Richmond,156,43,Melbourne,113,M.C.G.
St Kilda,South Melbourne,123,68,St Kilda,55,Junction Oval
Carlton,Geelong,61,85,Geelong,24,Princes Park
Collingwood,St Kilda,83,69,Collingwood,14,Victoria Park
Fitzroy,Essendon,50,69,Essendon,19,Brunswick St
Hawthorn,Footscray,81,21,Hawthorn,60,Glenferrie Oval
South Melbourne,Melbourne,83,129,Melbourne,46,Lake Oval
Richmond,North Melbourne,48,65,North Melbourne,17,Punt Rd
North Melbourne,Carlton,48,47,North Melbourne,1,Arden St
Fitzroy,Collingwood,38,88,Collingwood,50,Brunswick St
St Kilda,Essendon,43,76,Essendon,33,Junction Oval
Richmond,Footscray,83,61,Richmond,22,Punt Rd
Geelong,Melbourne,54,75,Melbourne,21,Kardinia Park
Hawthorn,South Melbourne,103,51,Hawthorn,52,Glenferrie Oval
Carlton,Hawthorn,42,58,Hawthorn,16,Princes Park
