team1,team2,score1,score2,winner,win_margin,venue
Sydney,Hawthorn,76,96,Hawthorn,20,S.C.G.
Greater Western Sydney,Collingwood,104,52,Greater Western Sydney,52,Sydney Showground
Brisbane Lions,Geelong,70,61,Brisbane Lions,9,Gabba
Gold Coast,Essendon,153,58,Gold Coast,95,Carrara
Richmond,Carlton,82,69,Richmond,13,M.C.G.
Hawthorn,Essendon,111,85,Hawthorn,26,M.C.G.
Geelong,Fremantle,147,69,Geelong,78,Kardinia Park
Sydney,Brisbane Lions,82,86,Brisbane Lions,4,S.C.G.
Collingwood,Port Adelaide,136,45,Collingwood,91,M.C.G.
Western Bulldogs,North Melbourne,113,97,Western Bulldogs,16,Docklands
Adelaide,St Kilda,135,72,Adelaide,63,Adelaide Oval
Melbourne,Greater Western Sydney,74,77,Greater Western Sydney,3,M.C.G.
West Coast,Gold Coast,49,136,Gold Coast,87,Perth Stadium
Carlton,Hawthorn,60,80,Hawthorn,20,M.C.G.
Western Bulldogs,Collingwood,70,76,Collingwood,6,M.C.G.
Essendon,Adelaide,100,161,Adelaide,61,M.C.G.
Port Adelaide,Richmond,140,68,Port Adelaide,72,Adelaide Oval
St Kilda,Geelong,98,91,St Kilda,7,Docklands
Brisbane Lions,West Coast,94,75,Brisbane Lions,19,Gabba
North Melbourne,Melbourne,125,66,North Melbourne,59,Docklands
Fremantle,Sydney,65,68,Sydney,3,Perth Stadium
Essendon,Port Adelaide,72,60,Essendon,12,Docklands
Carlton,Western Bulldogs,75,83,Western Bulldogs,8,Docklands
Melbourne,Gold Coast,62,120,Gold Coast,58,M.C.G.
St Kilda,Richmond,135,53,St Kilda,82,Docklands
Hawthorn,Greater Western Sydney,76,64,Hawthorn,12,York Park
Adelaide,North Melbourne,114,78,Adelaide,36,Adelaide Oval
West Coast,Fremantle,68,106,Fremantle,38,Perth Stadium
Collingwood,Carlton,63,46,Collingwood,17,M.C.G.
Geelong,Melbourne,85,46,Geelong,39,Kardinia Park
Gold Coast,Adelaide,91,90,Gold Coast,1,Carrara
Richmond,Brisbane Lions,90,118,Brisbane Lions,28,M.C.G.
North Melbourne,Sydney,52,117,Sydney,65,Docklands
Greater Western Sydney,West Coast,132,51,Greater Western Sydney,81,Sydney Showground
Port Adelaide,St Kilda,72,89,St Kilda,17,Adelaide Oval
Fremantle,Western Bulldogs,97,81,Fremantle,16,Perth Stadium
Adelaide,Geelong,100,119,Geelong,19,Adelaide Oval
Collingwood,Sydney,109,78,Collingwood,31,Adelaide Oval
North Melbourne,Gold Coast,89,141,Gold Coast,52,Barossa Oval
Carlton,West Coast,121,50,Carlton,71,Adelaide Oval
Western Bulldogs,Brisbane Lions,97,118,Brisbane Lions,21,Norwood Oval
Melbourne,Essendon,57,96,Essendon,39,Adelaide Oval
Richmond,Fremantle,47,108,Fremantle,61,Barossa Oval
St Kilda,Greater Western Sydney,82,110,Greater Western Sydney,28,Norwood Oval
Port Adelaide,Hawthorn,121,91,Port Adelaide,30,Adelaide Oval
Brisbane Lions,Collingwood,53,105,Collingwood,52,Gabba
North Melbourne,Carlton,71,153,Carlton,82,Docklands
West Coast,Essendon,75,77,Essendon,2,Perth Stadium
Melbourne,Fremantle,107,97,Melbourne,10,M.C.G.
Adelaide,Greater Western Sydney,52,34,Adelaide,18,Adelaide Oval
Richmond,Gold Coast,80,69,Richmond,11,Docklands
Sydney,Port Adelaide,77,85,Port Adelaide,8,S.C.G.
Western Bulldogs,St Kilda,127,56,Western Bulldogs,71,Docklands
Geelong,Hawthorn,86,79,Geelong,7,M.C.G.
Melbourne,Richmond,83,63,Melbourne,20,M.C.G.
Collingwood,Essendon,107,66,Collingwood,41,M.C.G.
Fremantle,Adelaide,85,67,Fremantle,18,Perth Stadium
St Kilda,Brisbane Lions,73,118,Brisbane Lions,45,Docklands
Port Adelaide,North Melbourne,97,88,Port Adelaide,9,Adelaide Oval
Greater Western Sydney,Western Bulldogs,81,113,Western Bulldogs,32,Manuka Oval
Gold Coast,Sydney,117,79,Gold Coast,38,Carrara
Carlton,Geelong,94,76,Carlton,18,M.C.G.
Hawthorn,West Coast,124,74,Hawthorn,50,Docklands
Essendon,North Melbourne,65,62,Essendon,3,Docklands
St Kilda,Fremantle,94,33,St Kilda,61,Docklands
Western Bulldogs,Port Adelaide,131,41,Western Bulldogs,90,Eureka Stadium
Adelaide,Carlton,110,50,Adelaide,60,Adelaide Oval
West Coast,Melbourne,76,108,Melbourne,32,Perth Stadium
Collingwood,Geelong,87,90,Geelong,3,M.C.G.
Sydney,Greater Western Sydney,87,73,Sydney,14,S.C.G.
Hawthorn,Richmond,109,44,Hawthorn,65,M.C.G.
Brisbane Lions,Gold Coast,66,49,Brisbane Lions,17,Gabba
Fremantle,Collingwood,83,97,Collingwood,14,Perth Stadium
St Kilda,Carlton,62,77,Carlton,15,M.C.G.
Melbourne,Hawthorn,56,91,Hawthorn,35,M.C.G.
Essendon,Sydney,71,63,Essendon,8,Docklands
Gold Coast,Western Bulldogs,106,96,Gold Coast,10,Marrara Oval
Port Adelaide,Adelaide,84,89,Adelaide,5,Adelaide Oval
Richmond,West Coast,81,79,Richmond,2,M.C.G.
Geelong,Greater Western Sydney,101,105,Greater Western Sydney,4,Kardinia Park
Gold Coast,Hawthorn,104,96,Gold Coast,8,Marrara Oval
Sydney,Carlton,78,62,Sydney,16,S.C.G.
Collingwood,Adelaide,78,68,Collingwood,10,M.C.G.
Port Adelaide,Geelong,39,115,Geelong,76,Adelaide Oval
