team1,team2,score1,score2,winner,win_margin,venue
Collingwood,Carlton,94,132,Carlton,38,Victoria Park
Essendon,North Melbourne,87,100,North Melbourne,13,Windy Hill
Footscray,Fitzroy,113,125,Fitzroy,12,Western Oval
Geelong,South Melbourne,85,88,South Melbourne,3,Kardinia Park
Hawthorn,Richmond,106,111,Richmond,5,Princes Park
St Kilda,Melbourne,100,122,Melbourne,22,Waverley Park
North Melbourne,Collingwood,56,61,Collingwood,5,Arden St
Richmond,Essendon,117,124,Essendon,7,M.C.G.
St Kilda,Hawthorn,83,116,Hawthorn,33,Moorabbin Oval
Carlton,Geelong,109,104,Carlton,5,Princes Park
Fitzroy,Melbourne,116,140,Melbourne,24,Waverley Park
South Melbourne,Footscray,101,73,South Melbourne,28,Lake Oval
Footscray,Carlton,94,119,Carlton,25,Western Oval
Hawthorn,Collingwood,130,119,Hawthorn,11,Princes Park
South Melbourne,Essendon,101,156,Essendon,55,Waverley Park
Fitzroy,North Melbourne,102,148,North Melbourne,46,Junction Oval
Geelong,Melbourne,119,93,Geelong,26,Kardinia Park
Carlton,South Melbourne,150,93,Carlton,57,Princes Park
Collingwood,Richmond,57,109,Richmond,52,Victoria Park
St Kilda,Essendon,83,80,St Kilda,3,Moorabbin Oval
Fitzroy,Hawthorn,82,85,Hawthorn,3,Waverley Park
Melbourne,Footscray,129,120,Melbourne,9,M.C.G.
North Melbourne,Geelong,69,106,Geelong,37,Arden St
Carlton,Melbourne,103,74,Carlton,29,Waverley Park
Richmond,Fitzroy,199,81,Richmond,118,M.C.G.
Geelong,Hawthorn,94,89,Geelong,5,Kardinia Park
Essendon,Collingwood,69,73,Collingwood,4,Windy Hill
South Melbourne,St Kilda,122,57,South Melbourne,65,Lake Oval
Footscray,North Melbourne,55,177,North Melbourne,122,S.C.G.
North Melbourne,Carlton,119,87,North Melbourne,32,Arden St
Collingwood,St Kilda,168,108,Collingwood,60,Victoria Park
Fitzroy,Essendon,108,113,Essendon,5,Junction Oval
Hawthorn,Footscray,130,113,Hawthorn,17,Princes Park
Geelong,Richmond,77,88,Richmond,11,Waverley Park
Melbourne,South Melbourne,104,130,South Melbourne,26,M.C.G.
Carlton,Hawthorn,111,113,Hawthorn,2,Princes Park
South Melbourne,Collingwood,115,90,South Melbourne,25,Lake Oval
Essendon,Geelong,93,107,Geelong,14,Windy Hill
St Kilda,Fitzroy,92,131,Fitzroy,39,Moorabbin Oval
Footscray,Richmond,70,180,Richmond,110,Western Oval
Melbourne,North Melbourne,72,159,North Melbourne,87,Waverley Park
Richmond,Carlton,138,85,Richmond,53,M.C.G.
Footscray,Essendon,71,148,Essendon,77,Waverley Park
Geelong,St Kilda,135,72,Geelong,63,Kardinia Park
Hawthorn,Melbourne,118,108,Hawthorn,10,Princes Park
North Melbourne,South Melbourne,109,106,North Melbourne,3,Arden St
Collingwood,Geelong,136,105,Collingwood,31,Victoria Park
Fitzroy,South Melbourne,100,121,South Melbourne,21,Junction Oval
St Kilda,Footscray,129,103,St Kilda,26,Moorabbin Oval
North Melbourne,Hawthorn,93,88,North Melbourne,5,Waverley Park
