team1,team2,score1,score2,winner,win_margin,venue
Hawthorn,Carlton,50,70,Carlton,20,Glenferrie Oval
Fitzroy,Collingwood,55,94,Collingwood,39,Brunswick St
Essendon,North Melbourne,104,53,Essendon,51,Windy Hill
Geelong,Footscray,93,27,Geelong,66,Corio Oval
Melbourne,St Kilda,92,63,Melbourne,29,M.C.G.
South Melbourne,Richmond,77,85,Richmond,8,Lake Oval
Carlton,Melbourne,69,58,Carlton,11,Princes Park
Collingwood,Essendon,47,78,Essendon,31,Victoria Park
Richmond,Fitzroy,116,58,Richmond,58,Punt Rd
Footscray,South Melbourne,57,90,South Melbourne,33,Western Oval
St Kilda,Geelong,105,110,Geelong,5,Junction Oval
North Melbourne,Hawthorn,38,42,Hawthorn,4,Arden St
Geelong,Carlton,64,60,Geelong,4,Corio Oval
Hawthorn,Collingwood,47,119,Collingwood,72,Glenferrie Oval
Essendon,Richmond,69,61,Essendon,8,Windy Hill
Fitzroy,Footscray,79,78,Fitzroy,1,Brunswick St
Melbourne,North Melbourne,119,89,Melbourne,30,M.C.G.
South Melbourne,St Kilda,47,50,St Kilda,3,Lake Oval
Carlton,South Melbourne,71,66,Carlton,5,Princes Park
Collingwood,Melbourne,84,79,Collingwood,5,Victoria Park
Footscray,Essendon,47,49,Essendon,2,Western Oval
St Kilda,Fitzroy,62,51,St Kilda,11,Junction Oval
North Melbourne,Geelong,50,58,Geelong,8,Arden St
Richmond,Hawthorn,112,100,Richmond,12,Punt Rd
Fitzroy,Carlton,58,48,Fitzroy,10,Brunswick St
Geelong,Collingwood,68,75,Collingwood,7,Corio Oval
Essendon,St Kilda,85,38,Essendon,47,Windy Hill
Hawthorn,Footscray,67,100,Footscray,33,Glenferrie Oval
Melbourne,Richmond,122,89,Melbourne,33,M.C.G.
South Melbourne,North Melbourne,75,73,South Melbourne,2,Lake Oval
Carlton,Essendon,73,51,Carlton,22,Princes Park
Collingwood,South Melbourne,88,59,Collingwood,29,Victoria Park
North Melbourne,Fitzroy,77,81,Fitzroy,4,Arden St
Footscray,Melbourne,46,105,Melbourne,59,Western Oval
Richmond,Geelong,73,83,Geelong,10,Punt Rd
St Kilda,Hawthorn,79,50,St Kilda,29,Junction Oval
Footscray,Carlton,71,93,Carlton,22,Western Oval
