team1,team2,score1,score2,winner,win_margin,venue
Hawthorn,Carlton,80,128,Carlton,48,Glenferrie Oval
South Melbourne,Collingwood,127,92,South Melbourne,35,Lake Oval
Essendon,Footscray,125,114,Essendon,11,Windy Hill
Fitzroy,North Melbourne,82,71,Fitzroy,11,Brunswick St
Geelong,St Kilda,109,73,Geelong,36,Corio Oval
Richmond,Melbourne,122,81,Richmond,41,Punt Rd
Carlton,South Melbourne,122,119,Carlton,3,Princes Park
Collingwood,Essendon,114,86,Collingwood,28,Victoria Park
Footscray,Fitzroy,96,72,Footscray,24,Western Oval
North Melbourne,Geelong,70,77,Geelong,7,Arden St
Melbourne,Hawthorn,133,44,Melbourne,89,M.C.G.
St Kilda,Richmond,83,87,Richmond,4,Junction Oval
Richmond,Carlton,104,67,Richmond,37,Punt Rd
Hawthorn,Collingwood,62,129,Collingwood,67,Glenferrie Oval
South Melbourne,Essendon,148,106,South Melbourne,42,Lake Oval
Fitzroy,St Kilda,80,93,St Kilda,13,Brunswick St
North Melbourne,Footscray,62,77,Footscray,15,Arden St
Geelong,Melbourne,86,47,Geelong,39,Corio Oval
Carlton,Geelong,104,94,Carlton,10,Princes Park
Collingwood,Richmond,91,63,Collingwood,28,Victoria Park
Essendon,Hawthorn,103,89,Essendon,14,Windy Hill
Melbourne,Fitzroy,65,59,Melbourne,6,M.C.G.
Footscray,South Melbourne,84,120,South Melbourne,36,Western Oval
St Kilda,North Melbourne,102,80,St Kilda,22,Junction Oval
Fitzroy,Carlton,102,87,Fitzroy,15,Brunswick St
St Kilda,Footscray,155,84,St Kilda,71,Junction Oval
Hawthorn,South Melbourne,92,144,South Melbourne,52,Glenferrie Oval
Richmond,Essendon,102,80,Richmond,22,Punt Rd
North Melbourne,Melbourne,116,118,Melbourne,2,Arden St
Carlton,North Melbourne,145,83,Carlton,62,Princes Park
Collingwood,Fitzroy,111,96,Collingwood,15,Victoria Park
Essendon,Geelong,95,82,Essendon,13,Windy Hill
Hawthorn,Footscray,77,71,Hawthorn,6,Glenferrie Oval
Melbourne,St Kilda,101,134,St Kilda,33,M.C.G.
South Melbourne,Richmond,64,108,Richmond,44,Lake Oval
St Kilda,Carlton,108,166,Carlton,58,Junction Oval
North Melbourne,Collingwood,86,112,Collingwood,26,Arden St
Fitzroy,Essendon,102,97,Fitzroy,5,Brunswick St
Footscray,Melbourne,44,91,Melbourne,47,Western Oval
Geelong,South Melbourne,106,77,Geelong,29,Corio Oval
Richmond,Hawthorn,110,81,Richmond,29,Punt Rd
Carlton,Melbourne,134,85,Carlton,49,Princes Park
Collingwood,St Kilda,84,75,Collingwood,9,Victoria Park
Essendon,North Melbourne,190,103,Essendon,87,Windy Hill
South Melbourne,Fitzroy,97,88,South Melbourne,9,Lake Oval
Richmond,Footscray,64,48,Richmond,16,Punt Rd
Hawthorn,Geelong,78,119,Geelong,41,Glenferrie Oval
