team1,team2,score1,score2,winner,win_margin,venue
Melbourne,Western Bulldogs,97,71,Melbourne,26,M.C.G.
Carlton,Richmond,101,76,Carlton,25,M.C.G.
St Kilda,Collingwood,85,102,Collingwood,17,Docklands
Geelong,Essendon,138,72,Geelong,66,M.C.G.
Greater Western Sydney,Sydney,92,112,Sydney,20,Stadium Australia
Brisbane Lions,Port Adelaide,80,69,Brisbane Lions,11,Gabba
Hawthorn,North Melbourne,78,58,Hawthorn,20,M.C.G.
Adelaide,Fremantle,82,83,Fremantle,1,Adelaide Oval
West Coast,Gold Coast,80,107,Gold Coast,27,Perth Stadium
Western Bulldogs,Carlton,90,102,Carlton,12,Docklands
Sydney,Geelong,107,77,Sydney,30,S.C.G.
Collingwood,Adelaide,100,58,Collingwood,42,M.C.G.
Essendon,Brisbane Lions,75,97,Brisbane Lions,22,Docklands
Port Adelaide,Hawthorn,56,120,Hawthorn,64,Adelaide Oval
Gold Coast,Melbourne,69,82,Melbourne,13,Carrara
North Melbourne,West Coast,74,59,North Melbourne,15,Docklands
Richmond,Greater Western Sydney,109,73,Richmond,36,M.C.G.
Fremantle,St Kilda,55,65,St Kilda,10,Perth Stadium
Western Bulldogs,Sydney,71,60,Western Bulldogs,11,Docklands
Melbourne,Essendon,99,70,Melbourne,29,M.C.G.
Adelaide,Port Adelaide,96,92,Adelaide,4,Adelaide Oval
Greater Western Sydney,Gold Coast,83,57,Greater Western Sydney,26,Sydney Showground
Collingwood,Geelong,91,104,Geelong,13,M.C.G.
Brisbane Lions,North Melbourne,156,48,Brisbane Lions,108,Gabba
Carlton,Hawthorn,74,73,Carlton,1,M.C.G.
St Kilda,Richmond,117,84,St Kilda,33,Docklands
West Coast,Fremantle,47,102,Fremantle,55,Perth Stadium
Port Adelaide,Melbourne,36,68,Melbourne,32,Adelaide Oval
Geelong,Brisbane Lions,80,70,Geelong,10,Kardinia Park
Sydney,North Melbourne,86,75,Sydney,11,S.C.G.
Collingwood,West Coast,74,87,West Coast,13,Docklands
Fremantle,Greater Western Sydney,88,54,Fremantle,34,Perth Stadium
Richmond,Western Bulldogs,99,61,Richmond,38,M.C.G.
Essendon,Adelaide,103,99,Essendon,4,Docklands
Hawthorn,St Kilda,73,142,St Kilda,69,M.C.G.
Gold Coast,Carlton,92,62,Gold Coast,30,Carrara
Brisbane Lions,Collingwood,98,91,Brisbane Lions,7,Gabba
North Melbourne,Western Bulldogs,71,139,Western Bulldogs,68,Docklands
West Coast,Sydney,58,121,Sydney,63,Perth Stadium
St Kilda,Gold Coast,87,61,St Kilda,26,Docklands
Adelaide,Richmond,101,82,Adelaide,19,Adelaide Oval
Melbourne,Greater Western Sydney,120,53,Melbourne,67,M.C.G.
Carlton,Port Adelaide,94,91,Carlton,3,M.C.G.
Essendon,Fremantle,59,107,Fremantle,48,Docklands
Hawthorn,Geelong,92,80,Hawthorn,12,M.C.G.
Greater Western Sydney,St Kilda,60,77,St Kilda,17,Manuka Oval
Western Bulldogs,Adelaide,62,63,Adelaide,1,Eureka Stadium
Port Adelaide,West Coast,117,33,Port Adelaide,84,Adelaide Oval
Fremantle,Carlton,97,62,Fremantle,35,Perth Stadium
North Melbourne,Geelong,61,121,Geelong,60,Bellerive Oval
Gold Coast,Brisbane Lions,80,132,Brisbane Lions,52,Carrara
Richmond,Melbourne,54,76,Melbourne,22,M.C.G.
Hawthorn,Sydney,68,109,Sydney,41,York Park
Essendon,Collingwood,82,93,Collingwood,11,M.C.G.
West Coast,Richmond,56,165,Richmond,109,Perth Stadium
Geelong,Fremantle,66,69,Fremantle,3,Kardinia Park
Adelaide,Greater Western Sydney,54,113,Greater Western Sydney,59,Adelaide Oval
Melbourne,Hawthorn,91,81,Melbourne,10,M.C.G.
Carlton,North Melbourne,114,64,Carlton,50,Docklands
St Kilda,Port Adelaide,42,43,Port Adelaide,1,Cazaly's Stadium
Collingwood,Gold Coast,115,90,Collingwood,25,M.C.G.
Western Bulldogs,Essendon,103,71,Western Bulldogs,32,Docklands
Sydney,Brisbane Lions,89,113,Brisbane Lions,24,S.C.G.
Port Adelaide,Western Bulldogs,86,69,Port Adelaide,17,Adelaide Oval
Fremantle,North Melbourne,102,24,Fremantle,78,Perth Stadium
Richmond,Collingwood,113,86,Richmond,27,M.C.G.
Sydney,Gold Coast,61,75,Gold Coast,14,S.C.G.
Greater Western Sydney,Geelong,35,88,Geelong,53,Manuka Oval
Essendon,Hawthorn,108,81,Essendon,27,Docklands
Brisbane Lions,West Coast,105,30,Brisbane Lions,75,Gabba
Melbourne,St Kilda,93,55,Melbourne,38,M.C.G.
Carlton,Adelaide,116,68,Carlton,48,Docklands
Collingwood,Western Bulldogs,51,99,Western Bulldogs,48,Docklands
Hawthorn,Richmond,94,117,Richmond,23,M.C.G.
