team1,team2,score1,score2,winner,win_margin,venue
Carlton,Hawthorn,66,102,Hawthorn,36,Princes Park
Collingwood,Essendon,58,93,Essendon,35,Victoria Park
St Kilda,South Melbourne,88,59,St Kilda,29,Junction Oval
Fitzroy,Melbourne,53,50,Fitzroy,3,Brunswick St
Richmond,North Melbourne,128,105,Richmond,23,Punt Rd
South Melbourne,Carlton,52,76,Carlton,24,Lake Oval
Melbourne,Collingwood,80,72,Melbourne,8,M.C.G.
Essendon,Fitzroy,74,63,Essendon,11,Windy Hill
Footscray,St Kilda,85,53,Footscray,32,Western Oval
North Melbourne,Geelong,67,73,Geelong,6,Arden St
Hawthorn,Richmond,76,57,Hawthorn,19,Glenferrie Oval
Footscray,Carlton,64,51,Footscray,13,Western Oval
Geelong,Collingwood,77,87,Collingwood,10,Kardinia Park
Melbourne,Essendon,86,41,Melbourne,45,M.C.G.
Fitzroy,St Kilda,88,65,Fitzroy,23,Brunswick St
North Melbourne,Hawthorn,87,78,North Melbourne,9,Arden St
South Melbourne,Richmond,130,87,South Melbourne,43,Lake Oval
Carlton,Geelong,102,89,Carlton,13,Princes Park
Collingwood,South Melbourne,93,83,Collingwood,10,Victoria Park
Essendon,Footscray,80,38,Essendon,42,Windy Hill
Richmond,Fitzroy,106,91,Richmond,15,Punt Rd
Hawthorn,Melbourne,51,33,Hawthorn,18,Glenferrie Oval
St Kilda,North Melbourne,101,84,St Kilda,17,Junction Oval
Carlton,Richmond,118,94,Carlton,24,Princes Park
Collingwood,Fitzroy,84,82,Collingwood,2,Victoria Park
South Melbourne,Essendon,58,100,Essendon,42,Lake Oval
North Melbourne,Footscray,70,68,North Melbourne,2,Arden St
Geelong,Hawthorn,64,37,Geelong,27,Kardinia Park
Melbourne,St Kilda,119,90,Melbourne,29,M.C.G.
Fitzroy,Carlton,82,96,Carlton,14,Brunswick St
North Melbourne,Collingwood,91,76,North Melbourne,15,Arden St
Essendon,Hawthorn,66,74,Hawthorn,8,Windy Hill
Footscray,Richmond,98,79,Footscray,19,Western Oval
St Kilda,Geelong,73,83,Geelong,10,Junction Oval
Melbourne,South Melbourne,114,51,Melbourne,63,M.C.G.
Carlton,Essendon,87,62,Carlton,25,Princes Park
Collingwood,St Kilda,88,57,Collingwood,31,Victoria Park
Geelong,Fitzroy,99,113,Fitzroy,14,Kardinia Park
Hawthorn,Footscray,77,50,Hawthorn,27,Glenferrie Oval
Richmond,Melbourne,52,50,Richmond,2,Punt Rd
South Melbourne,North Melbourne,75,79,North Melbourne,4,Lake Oval
Carlton,Melbourne,71,99,Melbourne,28,Princes Park
Footscray,Collingwood,89,40,Footscray,49,Western Oval
Essendon,Geelong,138,102,Essendon,36,Windy Hill
Fitzroy,North Melbourne,71,77,North Melbourne,6,Brunswick St
South Melbourne,Hawthorn,68,89,Hawthorn,21,Lake Oval
Richmond,St Kilda,81,79,Richmond,2,Punt Rd
North Melbourne,Carlton,56,63,Carlton,7,Arden St
Collingwood,Richmond,85,92,Richmond,7,Victoria Park
St Kilda,Essendon,30,75,Essendon,45,Junction Oval
Hawthorn,Fitzroy,104,56,Hawthorn,48,Glenferrie Oval
