team1,team2,score1,score2,winner,win_margin,venue
Fitzroy,Carlton,79,117,Carlton,38,Brunswick St
Geelong,Collingwood,60,66,Collingwood,6,Corio Oval
Essendon,Melbourne,72,85,Melbourne,13,Windy Hill
South Melbourne,Footscray,100,99,South Melbourne,1,Lake Oval
Hawthorn,St Kilda,67,70,St Kilda,3,Glenferrie Oval
Richmond,North Melbourne,99,21,Richmond,78,Punt Rd
Carlton,Richmond,87,66,Carlton,21,Princes Park
Collingwood,Fitzroy,102,67,Collingwood,35,Victoria Park
Footscray,Essendon,69,73,Essendon,4,Western Oval
Melbourne,Geelong,47,40,Melbourne,7,M.C.G.
North Melbourne,Hawthorn,76,61,North Melbourne,15,Arden St
St Kilda,South Melbourne,96,117,South Melbourne,21,Junction Oval
Hawthorn,Carlton,59,93,Carlton,34,Glenferrie Oval
Richmond,Collingwood,44,42,Richmond,2,Punt Rd
Essendon,South Melbourne,85,41,Essendon,44,Windy Hill
Fitzroy,Melbourne,84,118,Melbourne,34,Brunswick St
Geelong,Footscray,77,81,Footscray,4,Corio Oval
St Kilda,North Melbourne,77,75,St Kilda,2,Junction Oval
Carlton,St Kilda,120,24,Carlton,96,Princes Park
Collingwood,Hawthorn,112,39,Collingwood,73,Victoria Park
Essendon,Geelong,47,50,Geelong,3,Windy Hill
Footscray,Fitzroy,77,64,Footscray,13,Western Oval
Melbourne,Richmond,55,51,Melbourne,4,M.C.G.
South Melbourne,North Melbourne,69,70,North Melbourne,1,Lake Oval
North Melbourne,Carlton,81,65,North Melbourne,16,Arden St
St Kilda,Collingwood,74,102,Collingwood,28,Junction Oval
Fitzroy,Essendon,84,95,Essendon,11,Brunswick St
Richmond,Footscray,100,86,Richmond,14,Punt Rd
Geelong,South Melbourne,105,81,Geelong,24,Corio Oval
Hawthorn,Melbourne,101,110,Melbourne,9,Glenferrie Oval
South Melbourne,Carlton,82,85,Carlton,3,Lake Oval
Collingwood,North Melbourne,84,45,Collingwood,39,Victoria Park
Essendon,Richmond,68,61,Essendon,7,Windy Hill
Geelong,Fitzroy,122,39,Geelong,83,Corio Oval
Footscray,Hawthorn,121,45,Footscray,76,Western Oval
Melbourne,St Kilda,86,74,Melbourne,12,M.C.G.
Carlton,Collingwood,84,87,Collingwood,3,Princes Park
Hawthorn,Essendon,57,98,Essendon,41,Glenferrie Oval
Fitzroy,South Melbourne,113,77,Fitzroy,36,Brunswick St
St Kilda,Footscray,71,72,Footscray,1,Junction Oval
Richmond,Geelong,93,90,Richmond,3,Punt Rd
North Melbourne,Melbourne,37,100,Melbourne,63,Arden St
Melbourne,Carlton,74,64,Melbourne,10,M.C.G.
South Melbourne,Collingwood,68,85,Collingwood,17,Lake Oval
Essendon,St Kilda,67,76,St Kilda,9,Windy Hill
Fitzroy,Richmond,115,120,Richmond,5,Brunswick St
Footscray,North Melbourne,123,61,Footscray,62,Western Oval
Geelong,Hawthorn,111,27,Geelong,84,Corio Oval
Carlton,Footscray,61,62,Footscray,1,Princes Park
Collingwood,Melbourne,92,80,Collingwood,12,Victoria Park
North Melbourne,Essendon,59,70,Essendon,11,Arden St
Hawthorn,Fitzroy,72,106,Fitzroy,34,Glenferrie Oval
St Kilda,Geelong,97,66,St Kilda,31,Junction Oval
Richmond,South Melbourne,142,66,Richmond,76,Punt Rd
Essendon,Carlton,66,78,Carlton,12,Windy Hill
