team1,team2,score1,score2,winner,win_margin,venue
Geelong,Collingwood,103,125,Collingwood,22,M.C.G.
North Melbourne,West Coast,87,82,North Melbourne,5,Docklands
Port Adelaide,Brisbane Lions,126,72,Port Adelaide,54,Adelaide Oval
Melbourne,Western Bulldogs,115,65,Melbourne,50,M.C.G.
Gold Coast,Sydney,61,110,Sydney,49,Carrara
Greater Western Sydney,Adelaide,106,90,Greater Western Sydney,16,Sydney Showground
Hawthorn,Essendon,65,124,Essendon,59,M.C.G.
St Kilda,Fremantle,67,52,St Kilda,15,Docklands
Carlton,Geelong,90,82,Carlton,8,M.C.G.
Brisbane Lions,Melbourne,93,82,Brisbane Lions,11,Gabba
Collingwood,Port Adelaide,135,64,Collingwood,71,M.C.G.
Adelaide,Richmond,76,108,Richmond,32,Adelaide Oval
Western Bulldogs,St Kilda,41,92,St Kilda,51,Docklands
Fremantle,North Melbourne,72,73,North Melbourne,1,Perth Stadium
Sydney,Hawthorn,118,37,Sydney,81,S.C.G.
Essendon,Gold Coast,108,80,Essendon,28,Docklands
West Coast,Greater Western Sydney,100,81,West Coast,19,Perth Stadium
Western Bulldogs,Brisbane Lions,67,53,Western Bulldogs,14,Docklands
Collingwood,Richmond,63,49,Collingwood,14,M.C.G.
Hawthorn,North Melbourne,80,61,Hawthorn,19,York Park
Greater Western Sydney,Carlton,64,74,Carlton,10,Sydney Showground
St Kilda,Essendon,92,74,St Kilda,18,M.C.G.
Port Adelaide,Adelaide,86,117,Adelaide,31,Adelaide Oval
Gold Coast,Geelong,73,54,Gold Coast,19,Carrara
Melbourne,Sydney,134,84,Melbourne,50,M.C.G.
Fremantle,West Coast,108,67,Fremantle,41,Perth Stadium
Brisbane Lions,Collingwood,116,83,Brisbane Lions,33,Gabba
North Melbourne,Carlton,84,107,Carlton,23,Docklands
Adelaide,Fremantle,111,72,Adelaide,39,Adelaide Oval
Richmond,Western Bulldogs,84,89,Western Bulldogs,5,M.C.G.
Sydney,Port Adelaide,64,66,Port Adelaide,2,S.C.G.
St Kilda,Gold Coast,113,60,St Kilda,53,Docklands
Essendon,Greater Western Sydney,88,75,Essendon,13,Docklands
West Coast,Melbourne,63,126,Melbourne,63,Perth Stadium
Geelong,Hawthorn,127,45,Geelong,82,M.C.G.
Adelaide,Carlton,118,62,Adelaide,56,Adelaide Oval
Fremantle,Gold Coast,100,90,Fremantle,10,Norwood Oval
Richmond,Sydney,78,122,Sydney,44,Adelaide Oval
Brisbane Lions,North Melbourne,152,77,Brisbane Lions,75,Summit Sports Park
Essendon,Melbourne,104,77,Essendon,27,Adelaide Oval
Port Adelaide,Western Bulldogs,70,56,Port Adelaide,14,Adelaide Oval
Geelong,West Coast,136,89,Geelong,47,Adelaide Oval
Greater Western Sydney,Hawthorn,77,75,Greater Western Sydney,2,Norwood Oval
Collingwood,St Kilda,70,64,Collingwood,6,Adelaide Oval
Fremantle,Western Bulldogs,69,118,Western Bulldogs,49,Perth Stadium
Port Adelaide,West Coast,109,69,Port Adelaide,40,Adelaide Oval
Greater Western Sydney,Brisbane Lions,87,108,Brisbane Lions,21,Manuka Oval
Geelong,Sydney,130,37,Geelong,93,Kardinia Park
Hawthorn,Adelaide,76,79,Adelaide,3,York Park
Carlton,St Kilda,60,82,St Kilda,22,Docklands
Gold Coast,North Melbourne,97,54,Gold Coast,43,Carrara
Melbourne,Richmond,96,78,Melbourne,18,M.C.G.
Collingwood,Essendon,90,77,Collingwood,13,M.C.G.
St Kilda,Port Adelaide,76,83,Port Adelaide,7,Docklands
Brisbane Lions,Fremantle,115,67,Brisbane Lions,48,Gabba
Sydney,Greater Western Sydney,106,107,Greater Western Sydney,1,S.C.G.
Western Bulldogs,Hawthorn,94,65,Western Bulldogs,29,Docklands
Melbourne,North Melbourne,139,49,Melbourne,90,M.C.G.
West Coast,Carlton,44,152,Carlton,108,Perth Stadium
Essendon,Geelong,104,132,Geelong,28,M.C.G.
Richmond,Gold Coast,48,72,Gold Coast,24,Docklands
Adelaide,Collingwood,58,59,Collingwood,1,Adelaide Oval
Carlton,Brisbane Lions,74,100,Brisbane Lions,26,Docklands
Richmond,West Coast,104,58,Richmond,46,M.C.G.
Geelong,Adelaide,98,72,Geelong,26,Kardinia Park
Gold Coast,Melbourne,85,90,Melbourne,5,Carrara
Fremantle,Hawthorn,117,48,Fremantle,69,Perth Stadium
Greater Western Sydney,Western Bulldogs,71,86,Western Bulldogs,15,Manuka Oval
Port Adelaide,Essendon,92,87,Port Adelaide,5,Adelaide Oval
Collingwood,Sydney,77,48,Collingwood,29,M.C.G.
North Melbourne,St Kilda,34,64,St Kilda,30,Docklands
Richmond,Geelong,102,78,Richmond,24,M.C.G.
West Coast,Gold Coast,43,113,Gold Coast,70,Perth Stadium
Sydney,Fremantle,86,103,Fremantle,17,S.C.G.
North Melbourne,Port Adelaide,65,135,Port Adelaide,70,Bellerive Oval
Hawthorn,Melbourne,49,103,Melbourne,54,M.C.G.
Brisbane Lions,Essendon,87,45,Brisbane Lions,42,Gabba
Carlton,Western Bulldogs,59,79,Western Bulldogs,20,Docklands
Adelaide,St Kilda,121,69,Adelaide,52,Adelaide Oval
Collingwood,Greater Western Sydney,120,55,Collingwood,65,M.C.G.
Port Adelaide,Melbourne,80,76,Port Adelaide,4,Adelaide Oval
North Melbourne,Sydney,90,93,Sydney,3,Docklands
Western Bulldogs,Adelaide,85,40,Western Bulldogs,45,Eureka Stadium
Fremantle,Geelong,106,77,Fremantle,29,Perth Stadium
Brisbane Lions,Gold Coast,107,64,Brisbane Lions,43,Gabba
Essendon,Richmond,71,70,Essendon,1,M.C.G.
Hawthorn,West Coast,142,26,Hawthorn,116,York Park
Carlton,Collingwood,57,85,Collingwood,28,M.C.G.
Greater Western Sydney,St Kilda,80,92,St Kilda,12,Sydney Showground
Sydney,Carlton,77,51,Sydney,26,S.C.G.
St Kilda,Hawthorn,78,88,Hawthorn,10,Docklands
Melbourne,Fremantle,72,79,Fremantle,7,M.C.G.
Geelong,Greater Western Sydney,74,81,Greater Western Sydney,7,Kardinia Park
Gold Coast,Western Bulldogs,84,77,Gold Coast,7,Marrara Oval
West Coast,Essendon,46,96,Essendon,50,Perth Stadium
Richmond,Port Adelaide,67,77,Port Adelaide,10,M.C.G.
Collingwood,North Melbourne,105,70,Collingwood,35,Docklands
Adelaide,Brisbane Lions,95,78,Adelaide,17,Adelaide Oval
Melbourne,Carlton,61,44,Melbourne,17,M.C.G.
Port Adelaide,Hawthorn,151,96,Port Adelaide,55,Adelaide Oval
West Coast,Collingwood,57,120,Collingwood,63,Perth Stadium
Western Bulldogs,Geelong,75,97,Geelong,22,Docklands
Gold Coast,Adelaide,112,87,Gold Coast,25,Marrara Oval
Greater Western Sydney,Richmond,104,110,Richmond,6,Sydney Showground
Essendon,North Melbourne,105,99,Essendon,6,Docklands
Sydney,St Kilda,66,80,St Kilda,14,S.C.G.
Western Bulldogs,Port Adelaide,85,107,Port Adelaide,22,Docklands
Hawthorn,Brisbane Lions,98,73,Hawthorn,25,M.C.G.
Adelaide,West Coast,174,52,Adelaide,122,Adelaide Oval
Fremantle,Richmond,70,85,Richmond,15,Perth Stadium
North Melbourne,Greater Western Sydney,75,103,Greater Western Sydney,28,Bellerive Oval
Carlton,Essendon,52,86,Essendon,34,M.C.G.
Melbourne,Collingwood,66,62,Melbourne,4,M.C.G.
Port Adelaide,Geelong,110,72,Port Adelaide,38,Adelaide Oval
Brisbane Lions,Sydney,97,81,Brisbane Lions,16,Gabba
Greater Western Sydney,Fremantle,106,36,Greater Western Sydney,70,Sydney Showground
Richmond,St Kilda,90,70,Richmond,20,M.C.G.
Carlton,Gold Coast,120,61,Carlton,59,M.C.G.
North Melbourne,Western Bulldogs,84,105,Western Bulldogs,21,Docklands
Geelong,Melbourne,78,63,Geelong,15,Kardinia Park
St Kilda,Brisbane Lions,56,84,Brisbane Lions,28,Docklands
Sydney,West Coast,205,34,Sydney,171,S.C.G.
Fremantle,Essendon,93,61,Fremantle,32,Perth Stadium
Collingwood,Adelaide,82,80,Collingwood,2,M.C.G.
Gold Coast,Hawthorn,101,34,Gold Coast,67,Carrara
