team1,team2,score1,score2,winner,win_margin,venue
Carlton,Sydney,99,104,Sydney,5,Princes Park
Essendon,Fitzroy,141,60,Essendon,81,Windy Hill
Geelong,Hawthorn,77,192,Hawthorn,115,Waverley Park
North Melbourne,Melbourne,89,142,Melbourne,53,M.C.G.
Brisbane Bears,Richmond,133,74,Brisbane Bears,59,Carrara
West Coast,Collingwood,100,54,West Coast,46,Subiaco
Footscray,St Kilda,81,144,St Kilda,63,Western Oval
Richmond,North Melbourne,68,209,North Melbourne,141,M.C.G.
Fitzroy,Brisbane Bears,98,59,Fitzroy,39,Princes Park
Carlton,Collingwood,87,122,Collingwood,35,Waverley Park
Melbourne,Geelong,128,91,Melbourne,37,M.C.G.
St Kilda,West Coast,127,69,St Kilda,58,Moorabbin Oval
Essendon,Hawthorn,159,97,Essendon,62,M.C.G.
Sydney,Footscray,78,140,Footscray,62,S.C.G.
St Kilda,Carlton,76,92,Carlton,16,Waverley Park
Footscray,West Coast,59,122,West Coast,63,Western Oval
Hawthorn,Richmond,111,81,Hawthorn,30,Princes Park
Brisbane Bears,North Melbourne,95,113,North Melbourne,18,Carrara
Collingwood,Sydney,128,93,Collingwood,35,Victoria Park
Melbourne,Essendon,122,95,Melbourne,27,M.C.G.
Geelong,Fitzroy,150,77,Geelong,73,Kardinia Park
West Coast,Carlton,120,70,West Coast,50,W.A.C.A.
Hawthorn,Brisbane Bears,120,38,Hawthorn,82,Princes Park
Collingwood,Footscray,96,78,Collingwood,18,Victoria Park
Richmond,Essendon,49,127,Essendon,78,M.C.G.
Fitzroy,Melbourne,64,89,Melbourne,25,Waverley Park
North Melbourne,Geelong,112,143,Geelong,31,M.C.G.
Sydney,St Kilda,97,131,St Kilda,34,S.C.G.
Carlton,Footscray,76,103,Footscray,27,Princes Park
Richmond,Fitzroy,143,64,Richmond,79,M.C.G.
St Kilda,Collingwood,91,92,Collingwood,1,M.C.G.
Essendon,Geelong,81,89,Geelong,8,Waverley Park
Hawthorn,North Melbourne,108,78,Hawthorn,30,Princes Park
Brisbane Bears,Melbourne,61,125,Melbourne,64,Carrara
West Coast,Sydney,128,67,West Coast,61,Subiaco
Richmond,West Coast,68,103,West Coast,35,M.C.G.
Geelong,Brisbane Bears,151,80,Geelong,71,Kardinia Park
Carlton,North Melbourne,133,103,Carlton,30,Princes Park
Collingwood,Essendon,75,101,Essendon,26,M.C.G.
Footscray,Fitzroy,82,50,Footscray,32,Waverley Park
St Kilda,Hawthorn,104,101,St Kilda,3,Moorabbin Oval
Sydney,Melbourne,98,93,Sydney,5,S.C.G.
Melbourne,West Coast,116,61,Melbourne,55,M.C.G.
Essendon,Carlton,91,111,Carlton,20,Windy Hill
Collingwood,Hawthorn,92,94,Hawthorn,2,Waverley Park
Fitzroy,St Kilda,121,103,Fitzroy,18,Princes Park
North Melbourne,Footscray,85,87,Footscray,2,M.C.G.
Brisbane Bears,Sydney,96,88,Brisbane Bears,8,Carrara
Geelong,Richmond,82,96,Richmond,14,Kardinia Park
Sydney,Geelong,107,98,Sydney,9,S.C.G.
Carlton,Hawthorn,126,59,Carlton,67,Waverley Park
Fitzroy,Collingwood,75,120,Collingwood,45,Princes Park
Melbourne,Richmond,133,80,Melbourne,53,M.C.G.
St Kilda,North Melbourne,94,78,St Kilda,16,Moorabbin Oval
West Coast,Brisbane Bears,122,63,West Coast,59,Subiaco
Footscray,Essendon,78,97,Essendon,19,Western Oval
