team1,team2,score1,score2,winner,win_margin,venue
Melbourne,Carlton,79,65,Melbourne,14,M.C.G.
Footscray,Collingwood,29,83,Collingwood,54,Western Oval
Essendon,Geelong,95,58,Essendon,37,Windy Hill
North Melbourne,Fitzroy,39,159,Fitzroy,120,Arden St
Hawthorn,St Kilda,80,79,Hawthorn,1,Glenferrie Oval
South Melbourne,Richmond,95,120,Richmond,25,Lake Oval
Carlton,North Melbourne,67,73,North Melbourne,6,Princes Park
Collingwood,Hawthorn,75,68,Collingwood,7,Victoria Park
St Kilda,Essendon,120,82,St Kilda,38,Junction Oval
Fitzroy,South Melbourne,84,75,Fitzroy,9,Brunswick St
Richmond,Footscray,138,96,Richmond,42,Punt Rd
Geelong,Melbourne,42,110,Melbourne,68,Kardinia Park
Carlton,Geelong,115,65,Carlton,50,Princes Park
Collingwood,Fitzroy,57,52,Collingwood,5,Victoria Park
Hawthorn,Essendon,74,48,Hawthorn,26,Glenferrie Oval
South Melbourne,Footscray,96,157,Footscray,61,Lake Oval
North Melbourne,Melbourne,51,90,Melbourne,39,Arden St
Richmond,St Kilda,83,68,Richmond,15,Punt Rd
St Kilda,Carlton,93,55,St Kilda,38,Junction Oval
Essendon,Collingwood,87,69,Essendon,18,Windy Hill
Fitzroy,Richmond,113,56,Fitzroy,57,Brunswick St
Footscray,North Melbourne,54,40,Footscray,14,Western Oval
Geelong,South Melbourne,59,60,South Melbourne,1,Kardinia Park
Melbourne,Hawthorn,76,68,Melbourne,8,M.C.G.
Collingwood,Carlton,106,33,Collingwood,73,Victoria Park
Melbourne,Essendon,102,87,Melbourne,15,M.C.G.
Fitzroy,Footscray,110,54,Fitzroy,56,Brunswick St
Geelong,Richmond,81,97,Richmond,16,Kardinia Park
Hawthorn,North Melbourne,120,58,Hawthorn,62,Glenferrie Oval
South Melbourne,St Kilda,92,93,St Kilda,1,Lake Oval
Carlton,Fitzroy,40,59,Fitzroy,19,Princes Park
Richmond,Collingwood,56,95,Collingwood,39,Punt Rd
North Melbourne,Essendon,64,55,North Melbourne,9,Arden St
Footscray,Geelong,58,75,Geelong,17,Western Oval
Hawthorn,South Melbourne,81,64,Hawthorn,17,Glenferrie Oval
St Kilda,Melbourne,79,78,St Kilda,1,Junction Oval
South Melbourne,Carlton,79,57,South Melbourne,22,Lake Oval
North Melbourne,Collingwood,62,59,North Melbourne,3,Arden St
Essendon,Richmond,82,68,Essendon,14,Windy Hill
Fitzroy,Hawthorn,87,63,Fitzroy,24,Brunswick St
Melbourne,Footscray,85,62,Melbourne,23,M.C.G.
Geelong,St Kilda,70,44,Geelong,26,Kardinia Park
Carlton,Hawthorn,68,60,Carlton,8,Princes Park
Collingwood,South Melbourne,140,66,Collingwood,74,Victoria Park
Footscray,Essendon,107,92,Footscray,15,Western Oval
St Kilda,Fitzroy,89,50,St Kilda,39,Junction Oval
Geelong,North Melbourne,35,102,North Melbourne,67,Kardinia Park
Melbourne,Richmond,90,83,Melbourne,7,M.C.G.
Essendon,Carlton,49,50,Carlton,1,Windy Hill
Collingwood,St Kilda,95,39,Collingwood,56,Victoria Park
Fitzroy,Geelong,66,51,Fitzroy,15,Brunswick St
Hawthorn,Footscray,80,58,Hawthorn,22,Glenferrie Oval
South Melbourne,Melbourne,76,108,Melbourne,32,Lake Oval
