team1,team2,score1,score2,winner,win_margin,venue
Geelong,Carlton,62,94,Carlton,32,Kardinia Park
Collingwood,South Melbourne,91,55,Collingwood,36,Victoria Park
Essendon,St Kilda,136,67,Essendon,69,Windy Hill
Fitzroy,Richmond,98,103,Richmond,5,Junction Oval
Melbourne,Footscray,111,100,Melbourne,11,M.C.G.
Hawthorn,North Melbourne,105,76,Hawthorn,29,Princes Park
Carlton,Collingwood,172,79,Carlton,93,Princes Park
South Melbourne,Essendon,102,131,Essendon,29,Lake Oval
Footscray,Fitzroy,116,83,Footscray,33,Western Oval
Richmond,Geelong,112,72,Richmond,40,M.C.G.
St Kilda,Hawthorn,81,121,Hawthorn,40,Moorabbin Oval
North Melbourne,Melbourne,103,105,Melbourne,2,Arden St
Carlton,North Melbourne,102,66,Carlton,36,Princes Park
Fitzroy,Collingwood,85,87,Collingwood,2,Junction Oval
Essendon,Melbourne,117,100,Essendon,17,Windy Hill
Geelong,Footscray,90,98,Footscray,8,Kardinia Park
Richmond,Hawthorn,87,116,Hawthorn,29,Waverley Park
St Kilda,South Melbourne,87,71,St Kilda,16,Moorabbin Oval
Carlton,Essendon,87,104,Essendon,17,Waverley Park
Melbourne,St Kilda,80,133,St Kilda,53,M.C.G.
Collingwood,Geelong,112,99,Collingwood,13,Victoria Park
North Melbourne,Fitzroy,85,115,Fitzroy,30,Arden St
Footscray,Richmond,109,43,Footscray,66,Western Oval
South Melbourne,Hawthorn,69,99,Hawthorn,30,Lake Oval
St Kilda,Carlton,58,91,Carlton,33,Moorabbin Oval
Footscray,Collingwood,81,70,Footscray,11,Waverley Park
Fitzroy,Essendon,125,107,Fitzroy,18,Junction Oval
Geelong,North Melbourne,71,87,North Melbourne,16,Kardinia Park
Hawthorn,Melbourne,136,81,Hawthorn,55,Princes Park
Richmond,South Melbourne,137,86,Richmond,51,M.C.G.
Carlton,Hawthorn,111,85,Carlton,26,Princes Park
Collingwood,Richmond,96,146,Richmond,50,Victoria Park
Essendon,Geelong,93,104,Geelong,11,Windy Hill
Fitzroy,St Kilda,74,82,St Kilda,8,Waverley Park
North Melbourne,Footscray,119,66,North Melbourne,53,Arden St
Melbourne,South Melbourne,155,90,Melbourne,65,M.C.G.
South Melbourne,Carlton,77,128,Carlton,51,Lake Oval
Collingwood,North Melbourne,90,81,Collingwood,9,Waverley Park
Footscray,Essendon,60,101,Essendon,41,Western Oval
Hawthorn,Fitzroy,130,90,Hawthorn,40,Princes Park
Geelong,St Kilda,88,80,Geelong,8,Kardinia Park
Richmond,Melbourne,132,78,Richmond,54,M.C.G.
Carlton,Melbourne,110,81,Carlton,29,Princes Park
Essendon,Collingwood,55,81,Collingwood,26,Windy Hill
Fitzroy,South Melbourne,91,78,Fitzroy,13,Junction Oval
St Kilda,Footscray,65,54,St Kilda,11,Moorabbin Oval
Geelong,Hawthorn,40,113,Hawthorn,73,Waverley Park
North Melbourne,Richmond,74,66,North Melbourne,8,Arden St
Carlton,Richmond,115,67,Carlton,48,Princes Park
Collingwood,St Kilda,98,89,Collingwood,9,Victoria Park
North Melbourne,Essendon,83,98,Essendon,15,Waverley Park
Melbourne,Fitzroy,123,112,Melbourne,11,M.C.G.
Footscray,Hawthorn,58,134,Hawthorn,76,Western Oval
South Melbourne,Geelong,92,55,South Melbourne,37,Lake Oval
Fitzroy,Carlton,97,106,Carlton,9,Junction Oval
