team1,team2,score1,score2,winner,win_margin,venue
Richmond,Carlton,121,95,Richmond,26,M.C.G.
Essendon,Adelaide,99,87,Essendon,12,Docklands
St Kilda,Brisbane Lions,107,82,St Kilda,25,Docklands
Port Adelaide,Fremantle,110,60,Port Adelaide,50,Adelaide Oval
Gold Coast,North Melbourne,55,39,Gold Coast,16,Cazaly's Stadium
Hawthorn,Collingwood,101,67,Hawthorn,34,M.C.G.
Greater Western Sydney,Western Bulldogs,133,51,Greater Western Sydney,82,Manuka Oval
Melbourne,Geelong,94,97,Geelong,3,M.C.G.
West Coast,Sydney,86,115,Sydney,29,Perth Stadium
Adelaide,Richmond,118,82,Adelaide,36,Adelaide Oval
North Melbourne,St Kilda,95,43,North Melbourne,52,Docklands
Carlton,Gold Coast,67,101,Gold Coast,34,Docklands
Collingwood,Greater Western Sydney,79,95,Greater Western Sydney,16,M.C.G.
Brisbane Lions,Melbourne,74,100,Melbourne,26,Gabba
Fremantle,Essendon,106,90,Fremantle,16,Perth Stadium
Western Bulldogs,West Coast,70,121,West Coast,51,Docklands
Sydney,Port Adelaide,71,94,Port Adelaide,23,S.C.G.
Geelong,Hawthorn,117,118,Hawthorn,1,M.C.G.
Carlton,Collingwood,76,100,Collingwood,24,M.C.G.
Port Adelaide,Brisbane Lions,97,92,Port Adelaide,5,Adelaide Oval
Melbourne,North Melbourne,123,86,Melbourne,37,M.C.G.
Gold Coast,Fremantle,68,96,Fremantle,28,Perth Stadium
St Kilda,Adelaide,55,104,Adelaide,49,Docklands
Sydney,Greater Western Sydney,103,87,Sydney,16,S.C.G.
Richmond,Hawthorn,102,89,Richmond,13,M.C.G.
Western Bulldogs,Essendon,104,83,Western Bulldogs,21,Docklands
West Coast,Geelong,95,80,West Coast,15,Perth Stadium
Adelaide,Collingwood,58,106,Collingwood,48,Adelaide Oval
Greater Western Sydney,Fremantle,82,51,Greater Western Sydney,31,Manuka Oval
Richmond,Brisbane Lions,110,17,Richmond,93,M.C.G.
Western Bulldogs,Sydney,79,86,Sydney,7,Docklands
North Melbourne,Carlton,116,30,North Melbourne,86,Bellerive Oval
West Coast,Gold Coast,139,59,West Coast,80,Perth Stadium
Essendon,Port Adelaide,106,84,Essendon,22,Docklands
Hawthorn,Melbourne,115,48,Hawthorn,67,M.C.G.
Geelong,St Kilda,103,56,Geelong,47,Kardinia Park
Sydney,Adelaide,75,85,Adelaide,10,S.C.G.
Carlton,West Coast,69,79,West Coast,10,M.C.G.
Port Adelaide,Geelong,50,84,Geelong,34,Adelaide Oval
Fremantle,Western Bulldogs,108,54,Fremantle,54,Perth Stadium
North Melbourne,Hawthorn,98,70,North Melbourne,28,Docklands
Brisbane Lions,Gold Coast,71,76,Gold Coast,5,Gabba
Melbourne,Richmond,56,102,Richmond,46,M.C.G.
Collingwood,Essendon,101,52,Collingwood,49,M.C.G.
Western Bulldogs,Carlton,80,59,Western Bulldogs,21,Docklands
Geelong,Sydney,69,86,Sydney,17,Kardinia Park
North Melbourne,Port Adelaide,69,102,Port Adelaide,33,Docklands
Greater Western Sydney,Brisbane Lions,77,43,Greater Western Sydney,34,Sydney Showground
Hawthorn,St Kilda,89,54,Hawthorn,35,York Park
Adelaide,Gold Coast,110,62,Adelaide,48,Adelaide Oval
Essendon,Melbourne,72,108,Melbourne,36,Docklands
Collingwood,Richmond,70,113,Richmond,43,M.C.G.
Fremantle,West Coast,81,89,West Coast,8,Perth Stadium
Geelong,Greater Western Sydney,93,32,Geelong,61,Kardinia Park
Western Bulldogs,Gold Coast,81,72,Western Bulldogs,9,Eureka Stadium
Essendon,Hawthorn,67,90,Hawthorn,23,M.C.G.
West Coast,Port Adelaide,102,60,West Coast,42,Perth Stadium
Sydney,North Melbourne,66,68,North Melbourne,2,S.C.G.
Adelaide,Carlton,125,70,Adelaide,55,Adelaide Oval
Richmond,Fremantle,110,33,Richmond,77,M.C.G.
St Kilda,Melbourne,67,106,Melbourne,39,Docklands
Brisbane Lions,Collingwood,114,121,Collingwood,7,Gabba
Hawthorn,Sydney,71,79,Sydney,8,M.C.G.
Greater Western Sydney,West Coast,61,86,West Coast,25,Sydney Showground
Carlton,Essendon,91,78,Carlton,13,M.C.G.
Gold Coast,Melbourne,77,146,Melbourne,69,Gabba
