team1,team2,score1,score2,winner,win_margin,venue
Carlton,Essendon,131,58,Carlton,73,Princes Park
Collingwood,Richmond,92,75,Collingwood,17,Victoria Park
Footscray,Fitzroy,78,69,Footscray,9,Western Oval
North Melbourne,Geelong,54,92,Geelong,38,Arden St
St Kilda,Hawthorn,82,58,St Kilda,24,Junction Oval
Melbourne,South Melbourne,80,58,Melbourne,22,M.C.G.
Richmond,Carlton,119,109,Richmond,10,Punt Rd
Hawthorn,Collingwood,73,126,Collingwood,53,Glenferrie Oval
Essendon,Footscray,112,104,Essendon,8,Windy Hill
Fitzroy,North Melbourne,107,55,Fitzroy,52,Brunswick St
Geelong,Melbourne,87,28,Geelong,59,Corio Oval
South Melbourne,St Kilda,89,63,South Melbourne,26,Lake Oval
Carlton,Hawthorn,106,68,Carlton,38,Princes Park
Collingwood,South Melbourne,134,38,Collingwood,96,Victoria Park
Essendon,Richmond,63,107,Richmond,44,Windy Hill
Melbourne,Fitzroy,107,76,Melbourne,31,M.C.G.
Footscray,North Melbourne,64,53,Footscray,11,Western Oval
St Kilda,Geelong,57,60,Geelong,3,Junction Oval
South Melbourne,Carlton,73,79,Carlton,6,Lake Oval
Geelong,Collingwood,49,85,Collingwood,36,Corio Oval
Hawthorn,Essendon,70,75,Essendon,5,Glenferrie Oval
Fitzroy,St Kilda,80,117,St Kilda,37,Brunswick St
Richmond,Footscray,103,85,Richmond,18,Punt Rd
North Melbourne,Melbourne,41,99,Melbourne,58,Arden St
Carlton,Geelong,73,55,Carlton,18,Princes Park
Collingwood,Fitzroy,115,59,Collingwood,56,Victoria Park
Essendon,South Melbourne,78,52,Essendon,26,Windy Hill
Richmond,Hawthorn,118,77,Richmond,41,Punt Rd
St Kilda,North Melbourne,121,55,St Kilda,66,Junction Oval
Fitzroy,Carlton,73,132,Carlton,59,Brunswick St
North Melbourne,Collingwood,81,132,Collingwood,51,Arden St
South Melbourne,Richmond,80,77,South Melbourne,3,Lake Oval
Geelong,Essendon,55,60,Essendon,5,Corio Oval
Footscray,Hawthorn,120,57,Footscray,63,Western Oval
Melbourne,St Kilda,61,59,Melbourne,2,M.C.G.
Carlton,North Melbourne,107,52,Carlton,55,Princes Park
Collingwood,Melbourne,83,59,Collingwood,24,Victoria Park
Essendon,Fitzroy,133,80,Essendon,53,Windy Hill
St Kilda,Footscray,92,61,St Kilda,31,Junction Oval
Richmond,Geelong,93,85,Richmond,8,Punt Rd
Hawthorn,South Melbourne,98,79,Hawthorn,19,Glenferrie Oval
Melbourne,Carlton,42,77,Carlton,35,M.C.G.
St Kilda,Collingwood,50,54,Collingwood,4,Junction Oval
North Melbourne,Essendon,38,72,Essendon,34,Arden St
