team1,team2,score1,score2,winner,win_margin,venue
Carlton,North Melbourne,134,65,Carlton,69,Princes Park
Collingwood,Footscray,48,104,Footscray,56,Victoria Park
Richmond,Essendon,77,94,Essendon,17,Punt Rd
Fitzroy,Hawthorn,93,58,Fitzroy,35,Brunswick St
Geelong,South Melbourne,104,66,Geelong,38,Kardinia Park
St Kilda,Melbourne,59,118,Melbourne,59,Junction Oval
Hawthorn,Carlton,87,60,Hawthorn,27,Glenferrie Oval
North Melbourne,Collingwood,70,137,Collingwood,67,Arden St
Essendon,St Kilda,120,55,Essendon,65,Windy Hill
South Melbourne,Fitzroy,107,69,South Melbourne,38,Lake Oval
Footscray,Richmond,112,81,Footscray,31,Western Oval
Melbourne,Geelong,111,62,Melbourne,49,M.C.G.
Carlton,Fitzroy,106,49,Carlton,57,Princes Park
Collingwood,St Kilda,116,59,Collingwood,57,Victoria Park
Essendon,North Melbourne,80,69,Essendon,11,Windy Hill
Melbourne,Footscray,58,46,Melbourne,12,M.C.G.
Geelong,Richmond,103,65,Geelong,38,Kardinia Park
South Melbourne,Hawthorn,56,98,Hawthorn,42,Lake Oval
St Kilda,Carlton,64,99,Carlton,35,Junction Oval
Hawthorn,Collingwood,84,75,Hawthorn,9,Glenferrie Oval
Footscray,Essendon,36,23,Footscray,13,Western Oval
Fitzroy,Geelong,73,83,Geelong,10,Brunswick St
North Melbourne,Melbourne,61,74,Melbourne,13,Arden St
Richmond,South Melbourne,110,52,Richmond,58,Punt Rd
Carlton,Collingwood,89,114,Collingwood,25,Princes Park
Essendon,Melbourne,59,73,Melbourne,14,Windy Hill
Richmond,Fitzroy,77,99,Fitzroy,22,Punt Rd
Geelong,Footscray,84,72,Geelong,12,Kardinia Park
Hawthorn,North Melbourne,91,93,North Melbourne,2,Glenferrie Oval
South Melbourne,St Kilda,166,32,South Melbourne,134,Lake Oval
Carlton,South Melbourne,75,83,South Melbourne,8,Princes Park
Collingwood,Essendon,101,47,Collingwood,54,Victoria Park
Footscray,Fitzroy,58,66,Fitzroy,8,Western Oval
St Kilda,Geelong,29,48,Geelong,19,Junction Oval
Melbourne,Hawthorn,71,44,Melbourne,27,M.C.G.
North Melbourne,Richmond,74,52,North Melbourne,22,Arden St
Geelong,Carlton,84,69,Geelong,15,Kardinia Park
Fitzroy,Collingwood,45,109,Collingwood,64,Brunswick St
Essendon,Hawthorn,65,70,Hawthorn,5,Windy Hill
Footscray,North Melbourne,69,62,Footscray,7,Western Oval
South Melbourne,Melbourne,71,72,Melbourne,1,Lake Oval
Richmond,St Kilda,122,56,Richmond,66,Punt Rd
Melbourne,Carlton,135,70,Melbourne,65,M.C.G.
Collingwood,Geelong,77,67,Collingwood,10,Victoria Park
Essendon,South Melbourne,92,54,Essendon,38,Windy Hill
North Melbourne,Fitzroy,71,88,Fitzroy,17,Arden St
St Kilda,Footscray,34,85,Footscray,51,Junction Oval
Hawthorn,Richmond,62,60,Hawthorn,2,Glenferrie Oval
Carlton,Essendon,28,86,Essendon,58,Princes Park
South Melbourne,Collingwood,63,72,Collingwood,9,Lake Oval
Footscray,Hawthorn,114,59,Footscray,55,Western Oval
Fitzroy,St Kilda,128,54,Fitzroy,74,Brunswick St
North Melbourne,Geelong,81,95,Geelong,14,Arden St
Melbourne,Richmond,94,78,Melbourne,16,M.C.G.
Carlton,Footscray,43,81,Footscray,38,Princes Park
Richmond,Collingwood,48,98,Collingwood,50,Punt Rd
Geelong,Essendon,65,52,Geelong,13,Kardinia Park
Fitzroy,Melbourne,39,71,Melbourne,32,Brunswick St
Hawthorn,St Kilda,81,43,Hawthorn,38,Glenferrie Oval
South Melbourne,North Melbourne,70,58,South Melbourne,12,Lake Oval
Richmond,Carlton,96,49,Richmond,47,Punt Rd
Collingwood,Melbourne,48,45,Collingwood,3,Victoria Park
Essendon,Fitzroy,68,42,Essendon,26,Windy Hill
Footscray,South Melbourne,82,49,Footscray,33,Western Oval
Geelong,Hawthorn,109,50,Geelong,59,Kardinia Park
St Kilda,North Melbourne,68,61,St Kilda,7,Junction Oval
North Melbourne,Carlton,88,105,Carlton,17,Arden St
Footscray,Collingwood,43,37,Footscray,6,Western Oval
Essendon,Richmond,91,50,Essendon,41,Windy Hill
Hawthorn,Fitzroy,120,59,Hawthorn,61,Glenferrie Oval
South Melbourne,Geelong,88,99,Geelong,11,Lake Oval
Melbourne,St Kilda,118,21,Melbourne,97,M.C.G.
Carlton,Hawthorn,79,63,Carlton,16,Princes Park
Collingwood,North Melbourne,99,92,Collingwood,7,Victoria Park
St Kilda,Essendon,37,82,Essendon,45,Junction Oval
Fitzroy,South Melbourne,100,46,Fitzroy,54,Brunswick St
Richmond,Footscray,57,48,Richmond,9,Punt Rd
Geelong,Melbourne,71,52,Geelong,19,Kardinia Park
Fitzroy,Carlton,80,94,Carlton,14,Brunswick St
St Kilda,Collingwood,71,116,Collingwood,45,Junction Oval
North Melbourne,Essendon,61,125,Essendon,64,Arden St
Footscray,Melbourne,74,73,Footscray,1,Western Oval
Richmond,Geelong,100,97,Richmond,3,Punt Rd
Hawthorn,South Melbourne,71,51,Hawthorn,20,Glenferrie Oval
Carlton,St Kilda,87,31,Carlton,56,Princes Park
Collingwood,Hawthorn,71,36,Collingwood,35,Victoria Park
Essendon,Footscray,72,52,Essendon,20,Windy Hill
Geelong,Fitzroy,86,65,Geelong,21,Kardinia Park
Melbourne,North Melbourne,90,63,Melbourne,27,M.C.G.
South Melbourne,Richmond,93,94,Richmond,1,Lake Oval
Collingwood,Carlton,89,52,Collingwood,37,Victoria Park
Melbourne,Essendon,119,54,Melbourne,65,M.C.G.
Fitzroy,Richmond,53,75,Richmond,22,Brunswick St
Footscray,Geelong,73,76,Geelong,3,Western Oval
North Melbourne,Hawthorn,60,53,North Melbourne,7,Arden St
St Kilda,South Melbourne,53,82,South Melbourne,29,Junction Oval
South Melbourne,Carlton,48,79,Carlton,31,Lake Oval
Essendon,Collingwood,133,60,Essendon,73,Windy Hill
Fitzroy,Footscray,61,79,Footscray,18,Brunswick St
Geelong,St Kilda,131,52,Geelong,79,Kardinia Park
Hawthorn,Melbourne,85,91,Melbourne,6,Glenferrie Oval
Richmond,North Melbourne,92,69,Richmond,23,Punt Rd
Carlton,Geelong,66,60,Carlton,6,Princes Park
Collingwood,Fitzroy,59,49,Collingwood,10,Victoria Park
Hawthorn,Essendon,50,92,Essendon,42,Glenferrie Oval
North Melbourne,Footscray,35,95,Footscray,60,Arden St
Melbourne,South Melbourne,94,31,Melbourne,63,M.C.G.
St Kilda,Richmond,43,137,Richmond,94,Junction Oval
Geelong,Essendon,61,53,Geelong,8,M.C.G.
Melbourne,Collingwood,56,45,Melbourne,11,M.C.G.
Collingwood,Geelong,96,84,Collingwood,12,M.C.G.
Melbourne,Collingwood,64,36,Melbourne,28,M.C.G.
