team1,team2,score1,score2,winner,win_margin,venue
North Melbourne,Carlton,62,199,Carlton,137,Waverley Park
Collingwood,Melbourne,120,107,Collingwood,13,Victoria Park
St Kilda,Essendon,97,134,Essendon,37,Moorabbin Oval
Geelong,Fitzroy,148,99,Geelong,49,Kardinia Park
Footscray,Richmond,122,83,Footscray,39,Western Oval
Hawthorn,Sydney,124,89,Hawthorn,35,Princes Park
Fitzroy,Carlton,111,121,Carlton,10,Junction Oval
Collingwood,St Kilda,149,56,Collingwood,93,Victoria Park
Essendon,Hawthorn,110,116,Hawthorn,6,Windy Hill
Geelong,Footscray,105,65,Geelong,40,Waverley Park
Richmond,North Melbourne,107,93,Richmond,14,M.C.G.
Sydney,Melbourne,112,98,Sydney,14,S.C.G.
Carlton,Geelong,97,126,Geelong,29,Princes Park
Essendon,Collingwood,169,106,Essendon,63,Windy Hill
Fitzroy,Richmond,105,151,Richmond,46,Waverley Park
North Melbourne,Footscray,101,164,Footscray,63,Arden St
Melbourne,Hawthorn,132,138,Hawthorn,6,M.C.G.
St Kilda,Sydney,116,145,Sydney,29,Moorabbin Oval
Richmond,Carlton,97,151,Carlton,54,M.C.G.
Collingwood,Sydney,103,106,Sydney,3,Victoria Park
Melbourne,Essendon,91,126,Essendon,35,Waverley Park
Fitzroy,Footscray,140,70,Fitzroy,70,Junction Oval
Geelong,North Melbourne,65,79,North Melbourne,14,Kardinia Park
Hawthorn,St Kilda,159,99,Hawthorn,60,Princes Park
Carlton,Collingwood,71,76,Collingwood,5,Waverley Park
Richmond,Essendon,86,135,Essendon,49,M.C.G.
Footscray,Hawthorn,94,141,Hawthorn,47,Western Oval
St Kilda,Geelong,71,102,Geelong,31,Moorabbin Oval
North Melbourne,Melbourne,113,98,North Melbourne,15,M.C.G.
Sydney,Fitzroy,119,104,Sydney,15,S.C.G.
Carlton,St Kilda,104,90,Carlton,14,Princes Park
Collingwood,North Melbourne,108,87,Collingwood,21,Victoria Park
Fitzroy,Essendon,93,144,Essendon,51,Junction Oval
Footscray,Sydney,84,77,Footscray,7,Western Oval
Melbourne,Geelong,148,85,Melbourne,63,M.C.G.
Hawthorn,Richmond,81,120,Richmond,39,Waverley Park
Melbourne,Carlton,105,122,Carlton,17,M.C.G.
Geelong,Collingwood,83,128,Collingwood,45,Kardinia Park
Essendon,Footscray,82,104,Footscray,22,Windy Hill
Hawthorn,Fitzroy,135,104,Hawthorn,31,Princes Park
North Melbourne,St Kilda,101,148,St Kilda,47,Waverley Park
Sydney,Richmond,122,129,Richmond,7,S.C.G.
