team1,team2,score1,score2,winner,win_margin,venue
Richmond,Carlton,92,83,Richmond,9,M.C.G.
Melbourne,Greater Western Sydney,80,78,Melbourne,2,M.C.G.
Gold Coast,Essendon,121,60,Gold Coast,61,Carrara
North Melbourne,Adelaide,107,97,North Melbourne,10,Docklands
Sydney,Collingwood,133,53,Sydney,80,S.C.G.
Western Bulldogs,Fremantle,103,38,Western Bulldogs,65,Docklands
Port Adelaide,St Kilda,133,100,Port Adelaide,33,Adelaide Oval
West Coast,Brisbane Lions,166,102,West Coast,64,Subiaco
Geelong,Hawthorn,116,86,Geelong,30,M.C.G.
Collingwood,Richmond,87,86,Collingwood,1,M.C.G.
Adelaide,Port Adelaide,144,86,Adelaide,58,Adelaide Oval
Essendon,Melbourne,80,67,Essendon,13,M.C.G.
Brisbane Lions,North Melbourne,83,117,North Melbourne,34,Gabba
St Kilda,Western Bulldogs,36,93,Western Bulldogs,57,Docklands
Fremantle,Gold Coast,100,126,Gold Coast,26,Subiaco
Greater Western Sydney,Geelong,89,76,Greater Western Sydney,13,Manuka Oval
Hawthorn,West Coast,99,53,Hawthorn,46,M.C.G.
Carlton,Sydney,71,131,Sydney,60,Docklands
Port Adelaide,Essendon,112,51,Port Adelaide,61,Adelaide Oval
St Kilda,Collingwood,119,90,St Kilda,29,M.C.G.
Richmond,Adelaide,92,128,Adelaide,36,Docklands
Sydney,Greater Western Sydney,93,68,Sydney,25,S.C.G.
Gold Coast,Carlton,95,41,Gold Coast,54,Carrara
West Coast,Fremantle,92,59,West Coast,33,Subiaco
North Melbourne,Melbourne,136,131,North Melbourne,5,Bellerive Oval
Western Bulldogs,Hawthorn,90,93,Hawthorn,3,Docklands
Geelong,Brisbane Lions,125,56,Geelong,69,Kardinia Park
West Coast,Richmond,125,57,West Coast,68,Subiaco
Essendon,Geelong,42,72,Geelong,30,M.C.G.
Hawthorn,St Kilda,87,84,Hawthorn,3,York Park
Brisbane Lions,Gold Coast,107,94,Brisbane Lions,13,Gabba
Carlton,Western Bulldogs,49,85,Western Bulldogs,36,Docklands
Adelaide,Sydney,113,103,Adelaide,10,Adelaide Oval
Greater Western Sydney,Port Adelaide,151,65,Greater Western Sydney,86,Manuka Oval
Collingwood,Melbourne,67,102,Melbourne,35,M.C.G.
North Melbourne,Fremantle,132,101,North Melbourne,31,Docklands
Hawthorn,Adelaide,112,109,Hawthorn,3,M.C.G.
Sydney,West Coast,88,49,Sydney,39,S.C.G.
Gold Coast,North Melbourne,81,119,North Melbourne,38,Carrara
Western Bulldogs,Brisbane Lions,120,67,Western Bulldogs,53,Docklands
Port Adelaide,Geelong,59,107,Geelong,48,Adelaide Oval
St Kilda,Greater Western Sydney,79,126,Greater Western Sydney,47,Docklands
Fremantle,Carlton,68,72,Carlton,4,Subiaco
Melbourne,Richmond,129,96,Melbourne,33,M.C.G.
Collingwood,Essendon,142,73,Collingwood,69,M.C.G.
North Melbourne,Western Bulldogs,61,45,North Melbourne,16,Docklands
Melbourne,St Kilda,96,135,St Kilda,39,Docklands
Adelaide,Fremantle,97,64,Adelaide,33,Adelaide Oval
Greater Western Sydney,Hawthorn,158,83,Greater Western Sydney,75,Sydney Showground
Geelong,Gold Coast,168,48,Geelong,120,Kardinia Park
Richmond,Port Adelaide,59,94,Port Adelaide,35,M.C.G.
Brisbane Lions,Sydney,94,97,Sydney,3,Gabba
Carlton,Essendon,72,57,Carlton,15,M.C.G.
West Coast,Collingwood,124,62,West Coast,62,Subiaco
Richmond,Hawthorn,90,136,Hawthorn,46,M.C.G.
Collingwood,Carlton,84,99,Carlton,15,M.C.G.
Geelong,West Coast,123,79,Geelong,44,Kardinia Park
Sydney,Essendon,135,54,Sydney,81,S.C.G.
Gold Coast,Melbourne,87,160,Melbourne,73,Carrara
Western Bulldogs,Adelaide,123,108,Western Bulldogs,15,Docklands
Fremantle,Greater Western Sydney,77,95,Greater Western Sydney,18,Subiaco
St Kilda,North Melbourne,75,82,North Melbourne,7,Docklands
Port Adelaide,Brisbane Lions,136,59,Port Adelaide,77,Adelaide Oval
Adelaide,Geelong,72,98,Geelong,26,Adelaide Oval
Essendon,North Melbourne,60,74,North Melbourne,14,Docklands
Hawthorn,Fremantle,116,75,Hawthorn,41,York Park
Greater Western Sydney,Gold Coast,149,58,Greater Western Sydney,91,Sydney Showground
Brisbane Lions,Collingwood,65,143,Collingwood,78,Gabba
Richmond,Sydney,101,100,Richmond,1,M.C.G.
Carlton,Port Adelaide,93,91,Carlton,2,Docklands
