team1,team2,score1,score2,winner,win_margin,venue
Carlton,Fitzroy,14,108,Fitzroy,94,Princes Park
Collingwood,Geelong,69,51,Collingwood,18,Victoria Park
Essendon,South Melbourne,58,17,Essendon,41,East Melbourne
St Kilda,Melbourne,85,39,St Kilda,46,Junction Oval
South Melbourne,Carlton,19,36,Carlton,17,Lake Oval
Melbourne,Collingwood,49,55,Collingwood,6,M.C.G.
Geelong,Essendon,67,43,Geelong,24,Corio Oval
Fitzroy,St Kilda,83,33,Fitzroy,50,Brunswick St
Carlton,Geelong,65,32,Carlton,33,Princes Park
Collingwood,South Melbourne,29,55,South Melbourne,26,Victoria Park
St Kilda,Essendon,33,69,Essendon,36,Junction Oval
Melbourne,Fitzroy,23,99,Fitzroy,76,M.C.G.
St Kilda,Carlton,31,40,Carlton,9,Junction Oval
Fitzroy,Collingwood,33,42,Collingwood,9,Brunswick St
Essendon,Melbourne,39,71,Melbourne,32,S.C.G.
Geelong,South Melbourne,40,52,South Melbourne,12,Corio Oval
Collingwood,Carlton,48,53,Carlton,5,Victoria Park
Essendon,Fitzroy,41,83,Fitzroy,42,East Melbourne
Geelong,St Kilda,49,34,Geelong,15,Corio Oval
South Melbourne,Melbourne,64,39,South Melbourne,25,Lake Oval
Melbourne,Carlton,58,35,Melbourne,23,M.C.G.
Essendon,Collingwood,41,43,Collingwood,2,East Melbourne
Fitzroy,Geelong,78,54,Fitzroy,24,Brunswick St
South Melbourne,St Kilda,100,58,South Melbourne,42,Lake Oval
Carlton,Essendon,47,53,Essendon,6,Princes Park
St Kilda,Collingwood,49,34,St Kilda,15,Junction Oval
Fitzroy,South Melbourne,45,44,Fitzroy,1,Brunswick St
Geelong,Melbourne,66,97,Melbourne,31,Corio Oval
Fitzroy,Carlton,56,52,Fitzroy,4,Brunswick St
Geelong,Collingwood,34,58,Collingwood,24,Corio Oval
South Melbourne,Essendon,69,29,South Melbourne,40,Lake Oval
Melbourne,St Kilda,91,26,Melbourne,65,M.C.G.
Carlton,South Melbourne,61,37,Carlton,24,Princes Park
Collingwood,Melbourne,29,54,Melbourne,25,Victoria Park
Essendon,Geelong,66,28,Essendon,38,East Melbourne
St Kilda,Fitzroy,78,31,St Kilda,47,Junction Oval
South Melbourne,Collingwood,45,42,South Melbourne,3,Lake Oval
Essendon,St Kilda,44,39,Essendon,5,East Melbourne
Fitzroy,Melbourne,58,43,Fitzroy,15,Brunswick St
Carlton,St Kilda,61,25,Carlton,36,Princes Park
Collingwood,Fitzroy,55,24,Collingwood,31,Victoria Park
Melbourne,Essendon,30,35,Essendon,5,M.C.G.
South Melbourne,Geelong,41,39,South Melbourne,2,Lake Oval
Carlton,Collingwood,46,40,Carlton,6,Princes Park
Fitzroy,Essendon,44,27,Fitzroy,17,Brunswick St
St Kilda,Geelong,35,58,Geelong,23,Junction Oval
Melbourne,South Melbourne,67,73,South Melbourne,6,M.C.G.
Carlton,Melbourne,50,34,Carlton,16,Princes Park
Collingwood,Essendon,36,52,Essendon,16,Victoria Park
Geelong,Fitzroy,42,37,Geelong,5,Corio Oval
St Kilda,South Melbourne,46,65,South Melbourne,19,Junction Oval
Essendon,Carlton,35,39,Carlton,4,East Melbourne
Collingwood,St Kilda,96,46,Collingwood,50,Victoria Park
South Melbourne,Fitzroy,46,58,Fitzroy,12,Lake Oval
Melbourne,Geelong,76,40,Melbourne,36,M.C.G.
Collingwood,Carlton,59,49,Collingwood,10,Victoria Park
Essendon,Geelong,57,39,Essendon,18,East Melbourne
Fitzroy,South Melbourne,38,33,Fitzroy,5,Brunswick St
Melbourne,St Kilda,93,21,Melbourne,72,M.C.G.
Carlton,Melbourne,14,43,Melbourne,29,Princes Park
St Kilda,Collingwood,20,81,Collingwood,61,Junction Oval
South Melbourne,Essendon,27,59,Essendon,32,Lake Oval
Geelong,Fitzroy,30,53,Fitzroy,23,Corio Oval
Carlton,St Kilda,107,49,Carlton,58,Princes Park
Melbourne,Collingwood,40,51,Collingwood,11,M.C.G.
Essendon,Fitzroy,87,26,Essendon,61,East Melbourne
Geelong,South Melbourne,22,44,South Melbourne,22,Corio Oval
Carlton,Essendon,43,40,Carlton,3,Victoria Park
Fitzroy,Collingwood,61,50,Fitzroy,11,M.C.G.
Fitzroy,Carlton,61,37,Fitzroy,24,M.C.G.
